s,N,var_ratio_asym,rmse_ratio_asym,mse_ratio_sim,mc_se,R,seed,target_m
0.00,10,0.875969196942054,0.935932260872577,0.8692856442749621,0.0013686137034072121,200000,20260902,0.7978845608028654
0.00,20,0.875969196942054,0.935932260872577,0.8739817099132783,0.0013760958573607572,200000,20260902,0.7978845608028654
0.00,50,0.875969196942054,0.935932260872577,0.8752652487252628,0.0013826133103777003,200000,20260902,0.7978845608028654
0.00,200,0.875969196942054,0.935932260872577,0.8738401168664058,0.0013724359447330912,200000,20260902,0.7978845608028654
0.15,10,0.876022883969804,0.935960941476621,0.872879481552122,0.0013772600520441545,200000,20260902,0.8068439695268507
0.15,20,0.876022883969804,0.935960941476621,0.8721922209588184,0.0013782476912702695,200000,20260902,0.8068439695268507
0.15,50,0.876022883969804,0.935960941476621,0.8743114186015928,0.001374282263088748,200000,20260902,0.8068439695268507
0.15,200,0.876022883969804,0.935960941476621,0.8749003987657167,0.0013825009379455926,200000,20260902,0.8068439695268507
0.35,10,0.877346104579236,0.936667552859197,0.8940128752666301,0.001368982326394735,200000,20260902,0.8462621496568091
0.35,20,0.877346104579236,0.936667552859197,0.8820971322978517,0.0013705659697726624,200000,20260902,0.8462621496568091
0.35,50,0.877346104579236,0.936667552859197,0.8799956455798361,0.00137214490241885,200000,20260902,0.8462621496568091
0.35,200,0.877346104579236,0.936667552859197,0.876666992428897,0.0013702055963609539,200000,20260902,0.8462621496568091
0.80,10,0.896713540999606,0.946949597919343,0.9432050966685711,0.001199888198054783,200000,20260902,1.0404144677895306
0.80,20,0.896713540999606,0.946949597919343,0.9218808772724542,0.0012565289065765517,200000,20260902,1.0404144677895306
0.80,50,0.896713540999606,0.946949597919343,0.9083569749931979,0.0012725244244436301,200000,20260902,1.0404144677895306
0.80,200,0.896713540999606,0.946949597919343,0.8994872157130458,0.0012838220204864335,200000,20260902,1.0404144677895306
1.50,10,0.95546605173544,0.977479438011583,0.9723862841703731,0.0007617650964924863,200000,20260902,1.5586135875252092
1.50,20,0.95546605173544,0.977479438011583,0.9646085783274704,0.0008374065331154295,200000,20260902,1.5586135875252092
1.50,50,0.95546605173544,0.977479438011583,0.9604150462799909,0.0008783650237801363,200000,20260902,1.5586135875252092
1.50,200,0.95546605173544,0.977479438011583,0.9571611369660388,0.0008945435065229627,200000,20260902,1.5586135875252092
3.00,10,0.999229883213886,0.9996148674434,0.9935373892193271,0.00015860046557853504,200000,20260902,3.000764308634096
3.00,20,0.999229883213886,0.9996148674434,0.9958691621458913,0.00014333047328105332,200000,20260902,3.000764308634096
3.00,50,0.999229883213886,0.9996148674434,0.9976198002696673,0.0001274091276314192,200000,20260902,3.000764308634096
3.00,200,0.999229883213886,0.9996148674434,0.9989846369353778,0.0001263959671313094,200000,20260902,3.000764308634096
