block,n,ratioV1_min,ratioV1_max,ratioV1_median,V2med_min,V2med_max,V2med_median,in_band_0713,dratio_med,dratio_max
Exp01,15,0.9692644458104419,0.9976776703406413,0.9819250082383257,1.0000094610032628,1.0001721005059694,1.0000581998381275,15,2.304740804726091e-05,4.179979223517538e-05
Exp02,39,0.9581077432107308,1.0114213316126577,0.9800539589083964,1.0000026978485848,1.0057328127808018,1.0000677712849873,39,2.3485457743332994e-05,0.009492256789269238
Exp03,90,0.8562885133279331,1.486012903086558,0.9771199036311116,0.9884605913579472,1.0769451647735382,1.0006508331397517,87,3.118811814883937e-05,0.42124161796175075
Exp05_axis,75,0.9337366692092585,1.0287134480652853,0.9881633250885752,0.9999044500000909,1.0076320235338452,1.0001299192783593,75,3.2143959187824755e-05,0.011480365643890877
Exp05_diag,90,0.9644961273550214,1.0686241182938232,0.9936187192239856,0.9972940765493925,1.0024020902109538,1.0001133714659804,90,2.4959341244246147e-05,0.014735787418148849
Exp06,24,0.9337366692092585,1.0114213316126577,1.0026932274621814,1.0000360264861028,1.0045435300944554,1.0004145521092402,24,5.4267795137064034e-05,0.009492256789269238
Exp09,12,0.9987742912957135,1.0416157242754756,1.0016837996074677,1.0000873013940024,1.0006244261067474,1.000117379653652,12,3.5575204451743225e-05,4.9783196955477393e-05
KouAB_stageA,12,0.8742531958435847,0.9860692474222521,0.9469439553554577,1.0005121834768076,1.0039263062010657,1.001644304155446,12,2.7690840261052063e-05,4.6804156415225506e-05
KouAB_stageB,12,0.9579569208637831,0.987761800447392,0.9642658645254976,1.0000584837126083,1.0003839389336067,1.0002030882611461,12,2.5166195175507777e-05,4.307913621681703e-05
KouBTC,18,0.9644241117376097,1.0518662217430148,0.9966618163218719,1.000023991451246,1.0003730079977382,1.00016953631664,18,2.5608505258123415e-05,4.715308893343817e-05
__TOTAL__,387,0.8562885133279331,1.486012903086558,0.9872945382530055,0.9884605913579472,1.0769451647735382,1.0001599736138393,384,2.8533579867429104e-05,0.42124161796175075
