key,block,config_id,payoff,n_cal,n_test_lo,n_test_hi,n_seeds
Exp01__Exp01-A__ATM,Exp01,Exp01-A,ATM,150,150,200,200
Exp01__Exp01-A__OTM_K110,Exp01,Exp01-A,OTM_K110,150,150,200,200
Exp01__Exp01-A__OTM_K125,Exp01,Exp01-A,OTM_K125,150,150,200,200
Exp01__Exp01-B__ATM,Exp01,Exp01-B,ATM,150,150,200,200
Exp01__Exp01-B__OTM_K110,Exp01,Exp01-B,OTM_K110,150,150,200,200
Exp01__Exp01-B__OTM_K125,Exp01,Exp01-B,OTM_K125,150,150,200,200
Exp01__Exp01-C__ATM,Exp01,Exp01-C,ATM,150,150,200,200
Exp01__Exp01-C__OTM_K110,Exp01,Exp01-C,OTM_K110,150,150,200,200
Exp01__Exp01-C__OTM_K125,Exp01,Exp01-C,OTM_K125,150,150,200,200
Exp01__Exp01-D__ATM,Exp01,Exp01-D,ATM,150,150,200,200
Exp01__Exp01-D__OTM_K110,Exp01,Exp01-D,OTM_K110,150,150,200,200
Exp01__Exp01-D__OTM_K125,Exp01,Exp01-D,OTM_K125,150,150,200,200
Exp01__Exp01-E__ATM,Exp01,Exp01-E,ATM,150,150,200,200
Exp01__Exp01-E__OTM_K110,Exp01,Exp01-E,OTM_K110,150,150,200,200
Exp01__Exp01-E__OTM_K125,Exp01,Exp01-E,OTM_K125,150,150,200,200
Exp02__Exp02-A__ATM,Exp02,Exp02-A,ATM,150,150,200,200
Exp02__Exp02-A__OTM_K110,Exp02,Exp02-A,OTM_K110,150,150,200,200
Exp02__Exp02-A__OTM_K125,Exp02,Exp02-A,OTM_K125,150,150,200,200
Exp02__Exp02-B__ATM,Exp02,Exp02-B,ATM,150,150,200,200
Exp02__Exp02-B__OTM_K110,Exp02,Exp02-B,OTM_K110,150,150,200,200
Exp02__Exp02-B__OTM_K125,Exp02,Exp02-B,OTM_K125,150,150,200,200
Exp02__Exp02-C__ATM,Exp02,Exp02-C,ATM,150,150,200,200
Exp02__Exp02-C__OTM_K110,Exp02,Exp02-C,OTM_K110,150,150,200,200
Exp02__Exp02-C__OTM_K125,Exp02,Exp02-C,OTM_K125,150,150,200,200
Exp02__Exp02-D__ATM,Exp02,Exp02-D,ATM,150,150,200,200
Exp02__Exp02-D__OTM_K110,Exp02,Exp02-D,OTM_K110,150,150,200,200
Exp02__Exp02-D__OTM_K125,Exp02,Exp02-D,OTM_K125,150,150,200,200
Exp02__Exp02-E__ATM,Exp02,Exp02-E,ATM,150,150,200,200
Exp02__Exp02-E__OTM_K110,Exp02,Exp02-E,OTM_K110,150,150,200,200
Exp02__Exp02-E__OTM_K125,Exp02,Exp02-E,OTM_K125,150,150,200,200
Exp02__Exp02-F1__ATM,Exp02,Exp02-F1,ATM,150,150,200,200
Exp02__Exp02-F1__OTM_K110,Exp02,Exp02-F1,OTM_K110,150,150,200,200
Exp02__Exp02-F1__OTM_K125,Exp02,Exp02-F1,OTM_K125,150,150,200,200
Exp02__Exp02-F2__ATM,Exp02,Exp02-F2,ATM,150,150,200,200
