model,pair,dperturb,payoff,mu,sigma,s,MR_theory,MR_emp,ratio,KS_p,KS_rej,AD_stat,AD_crit5,AD_rej,sigVAR_near_le1,sigVAR_1to2,sigVAR_2to3,sigVAR_gt3,SIG_near_le1,SIG_1to2,SIG_2to3,SIG_gt3,n_seed
heston,A,0.001,price_ATMcall,-0.00036073063346522263,4.3828254997498995e-05,-8.230549755763885,0.00036073063346522263,0.0003607306334652214,0.9999999999999966,0.6017241617323735,0,0.405043173398866,0.772,0,0.9557844494715906,0.04324132611374865,0.00015561442651014103,0.0008186099881506678,0.9051637617628941,0.0933643343256154,0.00044789624997165826,0.001024007661518672,200
heston,A,0.001,delta_ATM,-0.00016985768979629152,5.812287902155884e-05,-2.922389473055665,0.0001699159707005708,0.00016995952155207008,1.000256308169972,0.8754406601982867,0,0.30479317460105904,0.772,0,0.9651483910009414,0.03450293275805526,-2.2962558169205132e-05,0.0003716387991723496,0.7038025056817298,0.2929392176000527,0.0010486118964181238,0.0022096648217993296,200
heston,A,0.001,delta_OTM1.10,-0.0004620648000705151,7.89837114604047e-05,-5.850127722880592,0.0004620648001334264,0.0004620648000705113,0.9999999998638393,0.6874758618890612,0,0.2705974049474662,0.772,0,0.9691360225681109,0.03046023219906685,3.134713566438105e-05,0.0003723980971580575,0.891116089992846,0.10768614866288145,0.0003854757908226482,0.0008122855534498404,200
heston,B,0.005,price_ATMcall,-0.0018100847397432955,0.0002110494285502944,-8.57659152254914,0.0018100847397432955,0.0018100847397432937,0.999999999999999,0.9811307590769472,0,0.19631861206067924,0.772,0,0.9546760999018928,0.044238083954502,0.0001741862714624052,0.0009116298721426545,0.9020782096486982,0.09636988380801652,0.0004697927197979377,0.001082113823487194,200
heston,B,0.005,delta_ATM,-0.0008654975475842793,0.0002906290480918239,-2.978014597187912,0.000865737564949827,0.0008657944241331622,1.0000656771585723,0.7663523099454059,0,0.24526038164538022,0.772,0,0.9652170029498623,0.03442369201043568,-1.9119365299915355e-05,0.0003784244050018587,0.6989277563556031,0.29768973300166185,0.0010830223877455417,0.002299488254989474,200
heston,B,0.005,delta_OTM1.10,-0.0023116885245917777,0.00038298566192917143,-6.0359662368229765,0.0023116885246871675,0.0023116885245917785,0.9999999999587362,0.9877332860463072,0,0.15589081924815673,0.772,0,0.9689686574611945,0.03058697568602038,3.5280994254218806e-05,0.0004090858585308997,0.8872783743363791,0.11145521168318111,0.0004054842209930355,0.0008609297594465907,200
heston,C,0.01,price_ATMcall,-0.0036168236831919257,0.00041028910072600007,-8.815305297635286,0.0036168236831919257,0.0036168236831919266,1.0000000000000002,0.9657624519244967,0,0.23721113960368712,0.772,0,0.9513490925769474,0.04765207666393312,0.00020176557875125467,0.0007970651803681581,0.8978434200782975,0.10049279920624289,0.0005006634378617536,0.0011631172775977906,200
heston,C,0.01,delta_ATM,-0.0017502134501323357,0.0005575115713669358,-3.139331163730058,0.0017504717106559518,0.0017502134501323399,0.9998524623265604,0.9968257093656581,0,0.30012667628483314,0.772,0,0.9607945060031211,0.03879450940430209,2.298991592432799e-05,0.0003879946766527479,0.6897918481772423,0.3066255935978486,0.0011403369220451135,0.0024422213028640147,200
heston,C,0.01,delta_OTM1.10,-0.004596282742515404,0.0007304880062432014,-6.292071468980647,0.004596282742550132,0.0045962827425154095,0.9999999999924456,0.8814409414560532,0,0.30582397069520084,0.772,0,0.9659255677738228,0.03364657897415302,5.515396980220512e-05,0.00037269928222231723,0.8818761790612222,0.1167596225327226,0.0004342276423041823,0.0009299707637509391,200
heston,D,0.03,price_ATMcall,-0.010565687808466744,0.0010661444386425721,-9.910184235373496,0.010565687808466744,0.010565687808466739,0.9999999999999996,0.867841769954391,0,0.49372561780927526,0.772,0,0.9286092399617817,0.07043228061944512,0.0003368885875640569,0.0006215908312092759,0.8779305268856264,0.11980642498468963,0.0006618432604298442,0.0016012048692541994,200
heston,D,0.03,delta_ATM,-0.005057514222064148,0.0015164869638439394,-3.335019912894295,0.005057851963215101,0.005057514222064155,0.9999332243898393,0.44623241751859977,0,0.4551626407058791,0.772,0,0.9394626640664245,0.0600818332399017,0.00015455021148227718,0.0003009524821913334,0.6261111250504829,0.3689668386917867,0.0015231808723024111,0.0033988553854278703,200
heston,D,0.03,delta_OTM1.10,-0.013026515148230049,0.001859482944954776,-7.005450189029221,0.013026515148230678,0.013026515148230054,0.999999999999952,0.9809326481900597,0,0.2648174444605047,0.772,0,0.9482494137936041,0.05129127143866264,0.00014112511490067968,0.00031818965283256624,0.8548385135232676,0.1432505173424917,0.0005913714325578639,0.0013195977016828171,200
kou,A,0.001,price_ATMcall,-0.0003288490182511849,7.01913979719572e-05,-4.685033034711267,0.00032884905702908977,0.0003288490182511868,0.9999998820799325,0.48634118557979367,0,0.5444963742019411,0.77,0,0.5421873872285953,0.45162853899037125,0.006086037504496856,9.80362765365807e-05,0.5101580423019846,0.479207733906665,0.010071304321211352,0.0005629194701390595,170
kou,A,0.001,delta_ATM,-0.00019179367408119776,9.434338245358245e-05,-2.0329319247755557,0.00019325979647924737,0.00019364856124163697,1.0020116173641493,0.9565126028561896,0,0.19396517913901334,0.77,0,0.6137006067095644,0.3828470433412376,0.003419294740215431,3.305520898253313e-05,-0.17727677482560533,1.1569016686637792,0.01937771345278916,0.0009973927090366618,170
kou,A,0.001,delta_OTM1.10,-0.0003675645456388624,0.00010311383569628587,-3.564648169247592,0.0003675738536950101,0.00036756454563887075,0.9999746770450462,0.7329147404240406,0,0.2223602807892462,0.77,0,0.6071670142380833,0.38917235162777253,0.003598217556304038,6.241657784014645e-05,0.38570180194661113,0.6036665511305909,0.010111211493326739,0.0005204354294711798,170
kou,B,0.005,price_ATMcall,-0.0016456699694878472,0.0003420945420038872,-4.810570668120007,0.001645670068801704,0.0016456699694878507,0.9999999396514191,0.7177316017550622,0,0.3911213857859366,0.77,0,0.5286111874987861,0.46467091897578494,0.006611350126218258,0.00010654339921046784,0.5044376193218819,0.4846788612223398,0.010311809001465987,0.0005717104543123031,170
kou,B,0.005,delta_ATM,-0.0009576777848826426,0.0004654941715034405,-2.057335716555936,0.000964447682831429,0.0009671167945074254,1.0027675028137975,0.9871074832502962,0,0.2365389548004373,0.77,0,0.6083930273108865,0.3878353778774133,0.003730746716957698,4.084809474247656e-05,-0.19318589788463805,1.17228612906449,0.019884489000702447,0.0010152798194454768,170
kou,B,0.005,delta_OTM1.10,-0.0018305966962490665,0.0005034506805402821,-3.6360993579044267,0.001830630678391699,0.0018305966962490774,0.9999814369206074,0.9235490118333481,0,0.36260324623498263,0.77,0,0.5977057577507795,0.39828063784570933,0.00394485957943301,6.874482407820161e-05,0.37578406539203335,0.61328220772577,0.010402582621685807,0.0005311442605107287,170
kou,C,0.01,price_ATMcall,-0.0032925598792874376,0.0006390242491761204,-5.152480337847056,0.0032925599091256307,0.0032925598792874398,0.9999999909376923,0.6811260365876237,0,0.368807854062311,0.77,0,0.5236513696486963,0.4695018607608326,0.006742526821771689,0.00010424276869929791,0.49800995556324223,0.4908186899405704,0.010589166000325856,0.0005821884958614547,170
kou,C,0.01,delta_ATM,-0.001913216240842091,0.0008729870919672957,-2.1915744899854315,0.0019219555730531032,0.0019225714646771534,1.0003204504998375,0.9741377377453022,0,0.1381230739707462,0.77,0,0.6093839868969669,0.3868364772544419,0.003743547554321701,3.5988294269555346e-05,-0.209895229542877,1.1884097362395913,0.020450017574869757,0.0010354757284156068,170
kou,C,0.01,delta_OTM1.10,-0.003644359049355828,0.0009388869416846594,-3.881573901556984,0.0036443815835871416,0.0036443590493558334,0.9999938167201234,0.973122500837866,0,0.2428602962097557,0.77,0,0.5952148096813448,0.4007127229805903,0.004005504645337997,6.696269272688665e-05,0.36482899419914144,0.6238915478293353,0.010735853745437831,0.000543604226085437,170
kou,D,0.03,price_ATMcall,-0.00983471145202152,0.0016060327131248392,-6.123605933833214,0.009834711452250084,0.00983471145202152,0.9999999999767595,0.8662477122842307,0,0.4388510999442303,0.77,0,0.4997320405202908,0.4913627226895806,0.008652310545163843,0.0002529262449647245,0.46874800223205304,0.5185816163466626,0.012026534699122493,0.0006438467221617747,170
kou,D,0.03,delta_ATM,-0.005605477587507915,0.002154569257575051,-2.6016697155592166,0.005611752194859304,0.0056054775875079175,0.9988818808932557,0.6234286261118593,0,0.3896618827448606,0.77,0,0.595693898337828,0.39970154355461535,0.0045343756084117275,7.018249914471621e-05,-0.30245512524546525,1.2776089525903045,0.023678640603258548,0.0011675320519023101,170
kou,D,0.03,delta_OTM1.10,-0.010605409759473241,0.0023146572461507494,-4.581848901002481,0.01060541190572415,0.010605409759473243,0.9999997976268223,0.8468990421702061,0,0.321685561327854,0.77,0,0.5754712405893233,0.41926600153880506,0.005126862614722265,0.00013589525714926081,0.31158878545199215,0.6752787974974126,0.012515319277094414,0.0006170977735008882,170
