event,window,model,mahal_raw,mahal_clipped,in_training_box
Luna,pre,heston,893.3609,2.8028,True
Luna,post,heston,245.3375,2.9847,True
FTX,pre,heston,704.3313,2.8209,True
FTX,post,heston,527.819,3.2784,True
ETF,pre,heston,848.0797,3.155,True
ETF,post,heston,393.9233,2.7999,True
COVID,pre,heston,1304.7393,2.717,True
COVID,post,heston,656.1496,2.9744,True
China,pre,heston,1094.7615,3.2924,True
China,post,heston,406.6601,3.3942,True
3AC,pre,heston,250.3153,3.0372,True
3AC,post,heston,468.2565,2.7053,True
SVB,pre,heston,630.8103,2.9049,True
SVB,post,heston,606.8412,3.1958,True
Halving,pre,heston,327.906,2.7867,True
Halving,post,heston,806.0371,3.141,True
Luna,pre,kou,71.3839,71.3839,True
Luna,post,kou,76.7163,76.7163,True
FTX,pre,kou,91.0355,91.0355,True
FTX,post,kou,84.8658,84.8658,True
ETF,pre,kou,76.6867,76.6867,True
ETF,post,kou,71.0278,71.0278,True
COVID,pre,kou,60.3919,60.3919,True
COVID,post,kou,67.5891,67.5891,True
China,pre,kou,67.6026,67.6026,True
China,post,kou,60.2135,60.2135,False
3AC,pre,kou,69.952,69.952,True
3AC,post,kou,86.699,86.699,True
SVB,pre,kou,114.334,114.334,True
SVB,post,kou,60.1715,60.1715,True
Halving,pre,kou,88.5427,88.5427,True
Halving,post,kou,67.5626,67.5626,True
