protocol_pair,pair,payoff,rho,sigma_1,sigma_2,sigma_delta,mu,s
AA,A,ATM,0.9992658060136826,0.001222169502260734,0.0012365500550748918,4.925379700704876e-05,-0.0003645782669385311,-7.402033733284684
AB1,A,ATM,-0.07060061304530496,0.001222169502260734,0.0014982476334339046,0.001999249759923002,-0.00044904698928199815,-0.22460774950864193
AB2,A,ATM,-0.18427350276857768,0.001222169502260734,0.002632838746474453,0.0031002321814875204,-0.012801909943421702,-4.129339092686673
AB3,A,ATM,0.14794198788798912,0.001222169502260734,0.0017394643520072413,0.0019724119192370717,-0.0010630736748377667,-0.5389714311039873
B1B1,A,ATM,0.999739592127581,0.001490340048524942,0.0014982476334339046,3.50065503705843e-05,-0.00032278994719189824,-9.220844207006921
B2B2,A,ATM,0.9998883794056156,0.0026024621510686574,0.002632838746474453,4.9521264439837184e-05,-0.000493634243806218,-9.968126811582701
AA,A,DIGITAL,0.9996687306522409,0.0016371061036264689,0.001630894220963341,4.251506334842722e-05,-0.00013247330983479078,-3.1159146759143055
AB1,A,DIGITAL,-0.02004334721891423,0.0016371061036264689,0.0017330881105633107,0.0024077887640284704,0.00050583382447561,0.2100823095582935
AB2,A,DIGITAL,0.1739793984269693,0.0016371061036264689,0.0008955091460249157,0.001723928738852968,-0.0035100360711415313,-2.0360679603711267
AB3,A,DIGITAL,0.0550393647269919,0.0016371061036264689,0.0023426102153454704,0.0027831234103271032,0.00026166836420693507,0.09401967704198246
B1B1,A,DIGITAL,0.9998614258164865,0.0017379784245336977,0.0017330881105633107,2.9303675224133236e-05,-8.360644181570898e-05,-2.8531043009531563
B2B2,A,DIGITAL,0.9993282784223599,0.0009028363700210267,0.0008955091460249157,3.376180712327677e-05,-0.00011808375517524672,-3.497554344294413
AA,A,OTM_K110,0.9992353087467513,0.0011548055398723314,0.001170250683643036,4.80143551026829e-05,-0.00037060528993605735,-7.718635169492239
AB1,A,OTM_K110,-0.13559013986835464,0.0011548055398723314,0.0014303188609604727,0.0019563504883725563,-0.0005883663892745916,-0.30074692278889165
AB2,A,OTM_K110,-0.2139506323177936,0.0011548055398723314,0.0026774696293181445,0.0031345608398906048,-0.012426950534184772,-3.964494922554596
AB3,A,OTM_K110,0.1793460873143087,0.0011548055398723314,0.0016868062589382002,0.0018655248028598445,-0.0011824170748392648,-0.6338254377677652
B1B1,A,OTM_K110,0.9997221167920941,0.0014222291947915753,0.0014303188609604727,3.458331480125023e-05,-0.00033330048123995926,-9.637609441299421
B2B2,A,OTM_K110,0.9998961970601999,0.0026474808585949137,0.0026774696293181445,4.869241155309205e-05,-0.0005003869533538874,-10.276487390818334
AA,A,OTM_K125,0.9992531928492588,0.0009745908628475857,0.0009897889525574636,4.0887417859798605e-05,-0.00033507508536179814,-8.195065937173089
AB1,A,OTM_K125,-0.20283341979565106,0.0009745908628475857,0.0012262809011994108,0.0017141801622967117,-0.0006256134559710844,-0.36496365418957366
AB2,A,OTM_K125,-0.22130543757762572,0.0009745908628475857,0.0027033360683998667,0.0030698495891390023,-0.011954139048854506,-3.894047151739207
AB3,A,OTM_K125,0.19579699694907218,0.0009745908628475857,0.0014563959417891936,0.0015859041019800231,-0.0011983634283145236,-0.7556342321193005
B1B1,A,OTM_K125,0.9997306828682019,0.0012177491865351564,0.0012262809011994108,2.961644957073576e-05,-0.000304899985591571,-10.294953987085778
B2B2,A,OTM_K125,0.9999237457021054,0.0026727424050393103,0.0027033360683998667,4.5143059148494314e-05,-0.00046740025281906405,-10.353756737698925
AA,B,ATM,0.9834024180889218,0.001222169502260734,0.0013017835561431501,0.00024321165382544034,-0.0018497357765833722,-7.605457006229554
AB1,B,ATM,-0.07110084867609506,0.001222169502260734,0.00153713670786794,0.0020306731829375624,-0.0017652581135431944,-0.869297003759896
AB2,B,ATM,-0.1901324700850783,0.001222169502260734,0.0027637350069173714,0.003227440221821874,-0.014800351361433678,-4.585786364488868
AB3,B,ATM,0.15334918577587855,0.001222169502260734,0.0017700556895941953,0.001990806964744498,-0.0023720686634381705,-1.1915111336485624
B1B1,B,ATM,0.9936979097157888,0.001490340048524942,0.00153713670786794,0.00017625065955782744,-0.0016390010714530945,-9.29926205986958
B2B2,B,ATM,0.9971748385065383,0.0026024621510686574,0.0027637350069173714,0.0002581646201859777,-0.002492075661818194,-9.653048740849703
AA,B,DIGITAL,0.99160238200059,0.0016371061036264689,0.0016068325167257278,0.00021236121934545371,-0.0006650825341542599,-3.131845523416176
AB1,B,DIGITAL,-0.018544993792540043,0.0016371061036264689,0.001716808434438168,0.0023941162511347384,0.00016236404577890662,0.067817945641508
AB2,B,DIGITAL,0.16939258262600967,0.0016371061036264689,0.0008883004538227496,0.0017252589493716524,-0.003978859384854649,-2.3062389482481858
AB3,B,DIGITAL,0.06564946854967374,0.0016371061036264689,0.002326510654939967,0.0027554825492153183,-0.00014132559299467884,-0.051288872446288686
B1B1,B,DIGITAL,0.9963907589303508,0.0017379784245336977,0.001716808434438168,0.0001482784622763817,-0.00042707622051241234,-2.880230978632414
B2B2,B,DIGITAL,0.9828915241205045,0.0009028363700210267,0.0008883004538227496,0.00016629174524619434,-0.0005869070688883649,-3.5293818584888323
AA,B,OTM_K110,0.9829296327843201,0.0011548055398723314,0.001239688209243515,0.000236814067157642,-0.001879427582025528,-7.936300425829153
AB1,B,OTM_K110,-0.13430101736287156,0.0011548055398723314,0.001470587571046599,0.001988053086994262,-0.0019456843535105295,-0.9786883289179215
AB2,B,OTM_K110,-0.21855328942240618,0.0011548055398723314,0.00280555972898812,0.003258974118646896,-0.014451597630977628,-4.434400858935889
