arch,pair,payoff,kurt,rej_lil,rej_ad,ratio,sigma_delta
FNO1d,A,ATM_call,-0.0461,False,False,1.0083,7.66e-06
FNO1d,A,OTM_call_1.10,-0.2247,False,False,1.0083,7.38e-06
FNO1d,A,OTM_call_1.25,-0.2574,False,False,1.0092,6.51e-06
FNO1d,A,OTM_put_0.90,0.211,False,True,1.0028,5.98e-06
FNO1d,B,ATM_call,-0.0318,False,False,1.0078,3.764e-05
FNO1d,B,OTM_call_1.10,-0.2222,False,False,1.0078,3.617e-05
FNO1d,B,OTM_call_1.25,-0.2684,False,False,1.0087,3.181e-05
FNO1d,B,OTM_put_0.90,0.2021,True,False,1.0028,2.938e-05
FNO1d,C,ATM_call,-0.0149,False,False,1.0071,7.385e-05
FNO1d,C,OTM_call_1.10,-0.2157,False,False,1.0072,7.065e-05
FNO1d,C,OTM_call_1.25,-0.2797,False,False,1.0082,6.188e-05
FNO1d,C,OTM_put_0.90,0.1975,False,False,1.0029,5.746e-05
FNO1d,D,ATM_call,0.0008,False,False,1.0045,0.00020787
FNO1d,D,OTM_call_1.10,-0.187,False,False,1.0049,0.00019516
FNO1d,D,OTM_call_1.25,-0.3045,False,False,1.006,0.00016794
FNO1d,D,OTM_put_0.90,0.259,False,False,1.0029,0.00015737
DeepONet_w512,A,ATM_call,-0.2274,False,False,0.9778,4.451e-05
DeepONet_w512,A,OTM_call_1.10,-0.1403,False,False,0.979,4.26e-05
DeepONet_w512,A,OTM_call_1.25,-0.1329,False,False,0.9789,3.552e-05
DeepONet_w512,A,OTM_put_0.90,-0.3036,False,False,0.9889,2.837e-05
DeepONet_w512,B,ATM_call,-0.3257,False,False,0.975,0.00021492
DeepONet_w512,B,OTM_call_1.10,-0.2474,False,False,0.9768,0.00020427
DeepONet_w512,B,OTM_call_1.25,-0.2436,False,False,0.9773,0.00017086
DeepONet_w512,B,OTM_put_0.90,-0.1478,False,False,0.996,0.00013925
DeepONet_w512,C,ATM_call,-0.2516,False,False,0.9643,0.00040032
DeepONet_w512,C,OTM_call_1.10,-0.1929,False,False,0.967,0.0003832
DeepONet_w512,C,OTM_call_1.25,-0.21,False,False,0.9685,0.00032386
DeepONet_w512,C,OTM_put_0.90,-0.1094,False,False,0.9977,0.00025756
DeepONet_w512,D,ATM_call,-0.0306,False,False,0.9724,0.00107129
DeepONet_w512,D,OTM_call_1.10,-0.0626,False,False,0.975,0.00102895
DeepONet_w512,D,OTM_call_1.25,-0.0935,False,False,0.9768,0.0008862
DeepONet_w512,D,OTM_put_0.90,0.0442,False,False,1.0036,0.00061417
