width,pair,payoff,kurt,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta
64,A,ATM_call,0.0983,-0.0445,False,False,1.0088,4.893e-05,-0.00028828
64,A,OTM_call_1.10,0.1428,-0.0702,False,False,1.0086,4.903e-05,-0.00030487
64,A,OTM_call_1.25,0.2328,-0.1214,False,False,1.0076,4.221e-05,-0.00028234
64,A,OTM_put_0.90,-0.3096,-0.4327,True,True,1.0096,7.145e-05,-0.00034778
64,B,ATM_call,0.0673,-0.0976,False,False,1.0087,0.00024435,-0.00145915
64,B,OTM_call_1.10,0.1213,-0.1222,False,False,1.0088,0.00024392,-0.00154204
64,B,OTM_call_1.25,0.2079,-0.1694,False,False,1.0082,0.00021023,-0.00142923
64,B,OTM_put_0.90,-0.2282,-0.4801,True,True,1.0111,0.00034896,-0.00174915
64,C,ATM_call,-0.2459,0.0176,False,False,0.9998,0.00050321,-0.00295577
64,C,OTM_call_1.10,-0.2063,-0.0054,False,False,0.9998,0.00049802,-0.00312026
64,C,OTM_call_1.25,-0.1545,-0.0445,False,False,1.0,0.00042848,-0.00289483
64,C,OTM_put_0.90,-0.3786,-0.4233,True,True,0.9932,0.00060009,-0.00350277
64,D,ATM_call,-0.1327,0.1739,False,False,0.9935,0.00155294,-0.00916033
64,D,OTM_call_1.10,-0.0606,0.1753,False,False,0.9946,0.00151834,-0.00962175
64,D,OTM_call_1.25,-0.0096,0.1479,False,False,0.9961,0.00130698,-0.00896175
64,D,OTM_put_0.90,-0.044,-0.4681,True,True,0.9997,0.00161363,-0.01016624
128,A,ATM_call,-0.2756,-0.23,False,False,0.9975,4.731e-05,-0.00031052
128,A,OTM_call_1.10,-0.3454,-0.1917,False,False,0.9978,4.689e-05,-0.00032435
128,A,OTM_call_1.25,-0.3762,-0.1766,False,False,0.998,4.01e-05,-0.00029843
128,A,OTM_put_0.90,0.7313,-0.6398,False,True,1.0199,5.736e-05,-0.00032495
128,B,ATM_call,-0.2224,-0.191,False,False,0.9999,0.00023027,-0.00155379
128,B,OTM_call_1.10,-0.3042,-0.147,False,False,1.0005,0.00022632,-0.00162188
128,B,OTM_call_1.25,-0.328,-0.139,False,False,1.0013,0.00019383,-0.00149412
128,B,OTM_put_0.90,0.9566,-0.6564,False,True,1.0206,0.00027386,-0.00161607
128,C,ATM_call,-0.059,-0.273,False,False,1.0043,0.00046788,-0.00312655
