seed,coupling,pair,payoff,kurt,kurt_nonfisher,skew,lilliefors_rej,ad_rej,ratio,sigma_delta,mu_delta,abs_s,atom
0,coupled,A,ATM_call,1.0151,4.0151,1.0822,True,True,0.9975,4.376e-05,-0.00040634,9.2864,0.0
0,coupled,A,OTM_call_1.10,1.037,4.037,1.0587,True,True,0.9981,4.148e-05,-0.00040934,9.8693,0.0
0,coupled,A,OTM_call_1.25,0.9554,3.9554,0.9916,True,True,0.9981,3.647e-05,-0.00036677,10.0562,0.0
0,coupled,A,OTM_put_0.90,0.7023,3.7023,-0.6376,True,True,0.9857,2.818e-05,-0.00029487,10.4637,0.0
0,independent,A,ATM_call,-0.64,2.36,-0.1237,False,False,1.0221,0.00467899,0.0004233,0.0905,0.0
0,independent,A,OTM_call_1.10,-0.5908,2.4092,-0.131,False,False,1.0256,0.00470898,0.00042637,0.0905,0.0
0,independent,A,OTM_call_1.25,-0.5096,2.4904,-0.1537,False,False,1.0207,0.00427558,0.00040483,0.0947,0.0
0,independent,A,OTM_put_0.90,-0.5763,2.4237,0.0153,False,False,1.0525,0.00373571,0.00017991,0.0482,0.0
0,coupled,B,ATM_call,0.6961,3.6961,1.0315,True,True,1.0011,0.00023524,-0.00204687,8.7011,0.0
0,coupled,B,OTM_call_1.10,0.7143,3.7143,1.0089,True,True,1.0014,0.00022233,-0.00206113,9.2704,0.0
0,coupled,B,OTM_call_1.25,0.6499,3.6499,0.9511,True,True,1.0012,0.00019486,-0.00184887,9.4881,0.0
0,coupled,B,OTM_put_0.90,0.6868,3.6868,-0.4353,True,True,0.985,0.00012791,-0.00147193,11.5078,0.0
0,independent,B,ATM_call,-0.6245,2.3755,-0.121,False,False,1.1434,0.00470327,-0.00120046,0.2552,0.0
0,independent,B,OTM_call_1.10,-0.5769,2.4231,-0.1293,False,False,1.146,0.00473529,-0.0012127,0.2561,0.0
0,independent,B,OTM_call_1.25,-0.4997,2.5003,-0.1517,False,False,1.1386,0.00430522,-0.00106657,0.2477,0.0
0,independent,B,OTM_put_0.90,-0.575,2.425,0.0126,False,False,1.1068,0.00372095,-0.00103495,0.2781,0.0
0,coupled,C,ATM_call,0.3001,3.3001,0.8741,True,True,1.0088,0.00050533,-0.00409042,8.0945,0.0
0,coupled,C,OTM_call_1.10,0.2994,3.2994,0.8468,True,True,1.0085,0.0004786,-0.00412038,8.6093,0.0
0,coupled,C,OTM_call_1.25,0.2661,3.2661,0.7871,True,True,1.0078,0.00041909,-0.00370235,8.8341,0.0
0,coupled,C,OTM_put_0.90,0.3244,3.3244,-0.081,False,False,0.9831,0.00022214,-0.00295592,13.3063,0.0
0,independent,C,ATM_call,-0.5995,2.4005,-0.1157,False,False,1.2037,0.00469391,-0.00326881,0.6964,0.0
0,independent,C,OTM_call_1.10,-0.5574,2.4426,-0.1235,False,False,1.2022,0.00473056,-0.00329781,0.6971,0.0
0,independent,C,OTM_call_1.25,-0.4874,2.5126,-0.1443,False,False,1.1943,0.00430927,-0.00294312,0.683,0.0
0,independent,C,OTM_put_0.90,-0.5712,2.4288,0.0043,False,False,1.1441,0.00370775,-0.00254236,0.6857,0.0
0,coupled,D,ATM_call,-0.1631,2.8369,-0.1447,False,False,1.0318,0.00152398,-0.01140316,7.4825,0.0
0,coupled,D,OTM_call_1.10,-0.1612,2.8388,-0.1562,False,False,1.0298,0.00145332,-0.01156588,7.9582,0.0
0,coupled,D,OTM_call_1.25,-0.0731,2.9269,-0.1913,False,False,1.0282,0.00126292,-0.01048556,8.3026,0.0
0,coupled,D,OTM_put_0.90,-0.0854,2.9146,0.2877,False,False,0.9814,0.00058655,-0.00925658,15.7813,0.0
0,independent,D,ATM_call,-0.2776,2.7224,-0.1704,False,False,1.101,0.0043037,-0.01097355,2.5498,0.0
0,independent,D,OTM_call_1.10,-0.2875,2.7125,-0.1764,False,False,1.1006,0.00435521,-0.01111701,2.5526,0.0
