cell_id,pair,config_id,block,family,knob,s_cal,bin,ratio_V1,V2_median,V2_q10,V2_q90,err_folded,err_naive,lillie_p,ex_kurt,se_floor_eval,se_floor_sigma,se_floor_pred,theta,k,s_target,bisect,anchor,y0,width,strike,instrument,mu_hat,sigma_hat,theory_mr,empirical_mr,n_cal,n_eval
P1-I-bfly_w0.25,P1,Exp01-C,Exp01,I,bfly_w0.25,1.7285517849031655,OUT,1.0192850626877534,1.0410504758293402,0.9548798559322003,1.1092415681778083,0.01892018572007779,0.03790337965126474,0.7791833944192061,0.3267689309293802,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.367638565172712,0.25,,butterfly,0.00032112462069671944,0.00018577668514264907,0.0003274607524550402,0.00033377585359391454,150,50
P1-I-dig_K+0.368,P1,Exp01-C,Exp01,I,dig_K+0.368,8.545766169997385,OUT,0.9800801942468942,0.9910511763957612,0.9746055848170669,1.0139780566635115,0.020324669215882323,0.020324669215882323,0.7856253635539038,0.3890450393101763,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.367638565172712,,0.367638565172712,digital,-0.004917674464270176,0.0005754515588707806,0.004917674464270176,0.004819715344184905,150,50
P1-I-bfly_w0.50,P1,Exp01-C,Exp01,I,bfly_w0.50,9.161726387149901,OUT,1.0097669644717695,0.9966962838353609,0.9804615229045266,1.0172232533546095,0.009672493570710865,0.009672493570710865,0.47703875356521075,0.5624627590070137,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.367638565172712,0.5,,butterfly,0.0018126605993325766,0.00019785142261779251,0.0018126605993325766,0.0018303647910056342,150,50
P1-I-dig_K-0.361,P1,Exp01-C,Exp01,I,dig_K-0.361,9.24392605214475,OUT,1.0089193899805926,0.9912401139367165,0.9778028953706024,1.015996834794418,0.008840537776525546,0.008840537776525546,0.07610576318939366,0.3146399590092379,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.367638565172712,,-0.3611883806275491,digital,0.006866962039751567,0.0007428620697542592,0.006866962039751567,0.006928211152166037,150,50
P1-I-bfly_w1.00,P1,Exp01-C,Exp01,I,bfly_w1.00,10.15829088153558,OUT,1.0087874398793135,0.9923481978715052,0.9815353674054208,1.0132994678434666,0.008710893427028368,0.008710893427028368,0.019993873244351215,0.5310190665871652,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.367638565172712,1.0,,butterfly,0.00408444944705592,0.0004020803789424952,0.00408444944705592,0.004120341301012019,150,50
P1-R-th0.05_k2,P1,Exp01-C,Exp01,R,th0.05_k2,0.05000000000000062,B1,0.8992951555554273,1.026737725698391,0.8516391352342196,1.1488654580168212,0.11198197146116601,0.9304038408158974,0.7108626033893327,0.5819551510873877,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5686608904853563,2.0,0.05,,,,,,,7.182691175265993e-06,0.00014365382350531807,0.00011476241199375593,0.00010320528114584078,150,50
P1-R-th0.05_k1,P1,Exp01-C,Exp01,R,th0.05_k1,0.05000000000000121,B1,0.9561958609141485,0.9972139015681882,0.8655275404123912,1.2018668878417533,0.04581084365286165,0.9345453255364511,0.919049886647279,-0.10069938805850365,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5690202751173332,1.0,0.05,,,,,,,5.973876927647436e-06,0.00011947753855294583,9.5448420159213e-05,9.126738428703404e-05,150,50
P1-R-th0.15_k1,P1,Exp01-C,Exp01,R,th0.15_k1,0.14999999999999852,B1,0.9512766120614465,1.005554058695002,0.8613301382196353,1.1983967238099174,0.05121894864309592,0.8045683573876977,0.9001098973379043,-0.0952605688173378,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.565502460306678,1.0,0.15,,,,,,,1.7806225000622197e-05,0.00011870816667081582,9.577896841193601e-05,9.11122925776468e-05,150,50
P1-R-th0.15_k2,P1,Exp01-C,Exp01,R,th0.15_k2,0.1500000000000381,B1,0.8645017437021603,1.0240336867172695,0.8362167855718887,1.1321192106637845,0.15673566569985065,0.7849517919099394,0.6920545454533604,0.5683860196008625,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5643869599092222,2.0,0.15,,,,,,,2.155822796282415e-05,0.0001437215197521245,0.00011596084150323646,0.00010024834968071775,150,50
P1-R-th0.2000_k1_bisect,P1,Exp01-C,Exp01,R,th0.2000_k1_bisect,0.19999999999999554,B1,0.9519836289489321,1.0191942053288319,0.8587348591327931,1.195940183970127,0.05043823190959902,0.7418402359419303,0.9181966407599956,-0.09248531777634694,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5637603440618468,1.0,0.2,True,,,,,,2.3665848658110174e-05,0.0001183292432905535,9.629506872137355e-05,9.167132897125999e-05,150,50
P1-R-th0.2000_k2_bisect,P1,Exp01-C,Exp01,R,th0.2000_k2_bisect,0.20000000000000123,B1,0.8483460887577875,1.0195858714145105,0.8378882086503147,1.1365341968455986,0.1787642016058277,0.7103023491315035,0.6829111442952189,0.5615419738628264,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5622481755522828,2.0,0.2,True,,,,,,2.8751983444172512e-05,0.00014375991722086168,0.0001169902783386346,9.924824505126557e-05,150,50
P1-R-th0.25_k1,P1,Exp01-C,Exp01,R,th0.25_k1,0.24999999999998,B1,0.9528716080476064,1.0253716914042281,0.8544000506635298,1.2006547478362497,0.04945933067410595,0.6810888364411319,0.9362658698466216,-0.08967411980394902,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5620291914319486,1.0,0.25,,,,,,,2.9488524986623424e-05,0.00011795409994650314,9.703958729345623e-05,9.246626758859171e-05,150,50
P1-R-th0.25_k2,P1,Exp01-C,Exp01,R,th0.25_k2,0.25000000000000083,B2,0.8355763549279529,1.0139615699977438,0.8406822419216616,1.1438554047295917,0.19677871938612296,0.6363212153473423,0.6739412201164676,0.5546617295122203,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5601079845284398,2.0,0.25,,,,,,,3.5950338559609255e-05,0.00014380135423843653,0.00011830384932670366,9.88518991943528e-05,150,50
P1-R-th0.3250_k2_bisect,P1,Exp01-C,Exp01,R,th0.3250_k2_bisect,0.3249999999999989,B2,0.8214293823767952,1.0093547501595541,0.8362089892594177,1.1493275633490294,0.21739010249001942,0.5287928982639728,0.6608112035651648,0.5442792067054527,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5568947410796374,2.0,0.325,True,,,,,,4.675749701086239e-05,0.00014386922157188476,0.00012080062857396964,9.922918572024452e-05,150,50
P1-R-th0.3250_k1_bisect,P1,Exp01-C,Exp01,R,th0.3250_k1_bisect,0.3249999999999998,B2,0.9507196813600869,1.0275094643436753,0.8490274312405132,1.212265187109801,0.05183475172136269,0.5928733083585082,0.9380138945148853,-0.08539203015119945,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5594526497187142,1.0,0.325,True,,,,,,3.815447146789868e-05,0.00011739837374738062,9.857422725512846e-05,9.371645792631252e-05,150,50
P1-R-th0.40_k2,P1,Exp01-C,Exp01,R,th0.40_k2,0.40000000000000036,B2,0.8119693810674576,1.0094677927634423,0.8411210872448491,1.1535144290892747,0.23157353382629703,0.4277591015902472,0.701139411850262,0.5338299933567394,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5536775095167887,2.0,0.4,,,,,,,5.757758504350505e-05,0.0001439439626087625,0.0001239181437018468,0.00010061773844461682,150,50
P1-R-th0.40_k1,P1,Exp01-C,Exp01,R,th0.40_k1,0.4000000000000012,B2,0.9503763451779058,1.0313069263639607,0.8527998257422043,1.2054962841534596,0.05221474111164335,0.5110967455568614,0.9004044362861888,-0.08103448769211319,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5568998362585718,1.0,0.4,,,,,,,4.6740360658211036e-05,0.00011685090164552724,0.00010059433240112395,9.560247397299158e-05,150,50
P1-R-th0.60_k1,P1,Exp01-C,Exp01,R,th0.60_k1,0.5999999999999971,B3,0.9442280693322707,1.0611969524610898,0.9053731742000475,1.1851822561729288,0.05906616471078805,0.32208590866057496,0.740355574360875,-0.06907038682318634,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5502042275925898,1.0,0.6,,,,,,,6.925814095250576e-05,0.00011543023492084349,0.00010819800716731868,0.00010216359541319651,150,50
P1-R-th0.60_k2,P1,Exp01-C,Exp01,R,th0.60_k2,0.6000000000000065,B3,0.795210666589125,0.97988312013422,0.8457611755974254,1.1345256383201172,0.2575284034974935,0.1950491353641421,0.801216416113669,0.5057076935956442,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.545074936138806,2.0,0.6,,,,,,,8.650624446205652e-05,0.00014417707410342595,0.0001351437264933498,0.00010746773283011509,150,50
P1-R-th0.80_k2,P1,Exp01-C,Exp01,R,th0.80_k2,0.8000000000000008,B3,0.8082433535976012,0.9622071789161257,0.8317421354482473,1.1083770956313226,0.2372511268405286,0.0486475033595421,0.7861967944183869,0.477347241839742,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.536430906850367,2.0,0.8,,,,,,,0.0001155678598531124,0.00014445982481639037,0.0001502980917533137,0.00012147743371801825,150,50
P1-R-th0.80_k1,P1,Exp01-C,Exp01,R,th0.80_k1,0.8000000000000019,B3,0.9383039611306051,1.0734577920266632,0.8951408684128862,1.1725271251126768,0.06575272131970383,0.18051680032169634,0.5172296580609577,-0.05665529858802065,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5436636086255235,1.0,0.8,,,,,,,9.125169009557588e-05,0.00011406461261946958,0.00011867447323210458,0.0001113527283187717,150,50
P1-R-th1.00_k2,P1,Exp01-C,Exp01,R,th1.00_k2,1.000000000000001,OUT,0.8365049749155942,0.9709373201653115,0.840558808742057,1.1019146341259447,0.195450152703399,0.024702937759384223,0.6104495350261078,0.4489239663793638,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5277356633056112,2.0,1.0,,,,,,,0.00014479294356980617,0.000144792943569806,0.0001689199280323955,0.00014130236016148296,150,50
P1-R-th1.00_k1,P1,Exp01-C,Exp01,R,th1.00_k1,1.0000000000000018,OUT,0.9504820395990147,1.0716426280836306,0.9245953184952844,1.180154368219707,0.05209773392654083,0.09817432677847522,0.3253348125846167,-0.043851835063215105,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5372686771212878,1.0,1.0,,,,,,,0.0001127515816623357,0.00011275158166233552,0.0001315394838337425,0.0001250259168820972,150,50
P1-R-theta0,P1,Exp01-C,Exp01,R,theta0,9.888944309666082,OUT,0.9970041084004649,0.9924211068813279,0.9776389234258174,1.0133598874799719,0.0030048939360354755,0.0030048939360354755,0.4739527032975291,0.8630492764041588,0.10684533932698201,0.05773502691896257,0.12144653090653211,0.0,0.0,,,theta0,,,,,0.0033635733372762793,0.0003401347233787644,0.0033635733372762793,0.0033534964361707133,150,50
P2-I-bfly_w0.25,P2,Exp05ax-kappa4,Exp05_axis,I,bfly_w0.25,1.1850000510193643,OUT,0.9692414947122331,1.0722458199388283,0.9268225323048037,1.2091892763641507,0.03173461459870652,0.060041020078923084,0.6239003446226364,-0.33588573790766896,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.402638524109685,0.25,,butterfly,0.0006094060194034255,0.0005142666608994661,0.0006689071523271338,0.0006483325681452545,150,50
P2-I-dig_K+0.403,P2,Exp05ax-kappa4,Exp05_axis,I,dig_K+0.403,4.9779355483056476,OUT,0.9628434578000049,0.9925322735209846,0.944047473738732,1.0303381501477549,0.03859042910764937,0.03859040400338403,0.21027501568185067,0.42803199904017974,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.402638524109685,,0.402638524109685,digital,-0.007426721283337114,0.0014919279711978124,0.007426721462851946,0.007150770173409878,150,50
P2-I-bfly_w0.50,P2,Exp05ax-kappa4,Exp05_axis,I,bfly_w0.50,5.2306980296977015,OUT,0.9995799171351506,1.0048898823366579,0.9668618541634143,1.0353729554413789,0.0004202594086257363,0.0004202536195291693,0.8111844299444964,0.09364325608753443,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.402638524109685,0.5,,butterfly,0.00303126602526008,0.0005795146284587311,0.003031266042801,0.0030299926598776196,150,50
P2-I-dig_K-0.266,P2,Exp05ax-kappa4,Exp05_axis,I,dig_K-0.266,5.582319595446761,OUT,1.0062238604510787,0.9937315801842785,0.9657713563018933,1.0261972413994827,0.006185363611123792,0.006185364325796532,0.18285251679411565,1.4422377965487687,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.402638524109685,,-0.2659341807007947,digital,0.00957204644518448,0.0017147077091379636,0.009572046452067938,0.00963162153341685,150,50
P2-I-bfly_w1.00,P2,Exp05ax-kappa4,Exp05_axis,I,bfly_w1.00,6.201705108984661,OUT,1.0027089984035396,0.9931417994103544,0.967412308740787,1.0228196701988796,0.0027016795579302235,0.002701679571742924,0.9655022972702987,1.2955661970580916,0.10684533932698201,0.05773502691896257,0.12144653090653211,,,,,,0.402638524109685,1.0,,butterfly,0.00580814239851235,0.0009365395961987711,0.005808142398592794,0.005823876647078112,150,50
P2-R-th0.05_k2,P2,Exp05ax-kappa4,Exp05_axis,R,th0.05_k2,0.049999999999999344,B1,0.992721178971454,0.9610856748635137,0.8578840116451157,1.1671483359031571,0.007332190732636107,0.936953607795119,0.371574086757954,0.19090187861904973,0.10684533932698201,0.05773502691896257,0.12144653090653211,1.5668715791902512,2.0,0.05,,,,,,,1.9863610712862476e-05,0.00039727221425725473,0.00031737350537401415,0.0003150634004291944,150,50
