bin,family,n,ratioV1_in_band,V2med_in_band,V2med_min,V2med_max,V2med_median,err_folded_median,err_naive_median,s_cal_min,s_cal_max,lillie_rej05,ex_kurt_min,ex_kurt_max
B1,R,20,1.0,1.0,0.9587406195442008,1.0471023676830575,1.005059448440128,0.01894659165729425,0.8080740721802218,0.0499999999999974,0.2499999999999813,0,-0.368103737510661,0.719910420279334
B1,I2,6,1.0,1.0,0.949823211861297,1.0228784905672352,0.9905476910563282,0.08049371174703115,0.8913747325882739,0.051321870972631,0.15509526700017,1,0.058044342655906,0.8261720103489667
B1,ALL,26,1.0,1.0,0.949823211861297,1.0471023676830575,1.0035859912071596,0.02522281873617975,0.8134115023774362,0.0499999999999974,0.2499999999999813,1,-0.368103737510661,0.8261720103489667
B2,R,16,1.0,1.0,0.9559721262473898,1.050779293013011,0.9913469379327792,0.050426566427786604,0.5953805623081909,0.2500000000000003,0.4000000000000053,0,-0.3679730682459117,0.6971754410818938
B2,I2,3,1.0,1.0,1.0069475789952675,1.1055734147704996,1.0192775544033448,0.0482971740599836,0.6552207412166745,0.2977062751293179,0.3021496238504502,0,-0.3534133374619488,0.5653344069053103
B2,ALL,19,1.0,1.0,0.9559721262473898,1.1055734147704996,1.0069475789952675,0.0490183811342106,0.6016887585461925,0.2500000000000003,0.4000000000000053,0,-0.3679730682459117,0.6971754410818938
B3,R,15,1.0,1.0,0.9333196015227588,1.0734577920266632,0.9576726075915908,0.0489110681656111,0.2356990881495017,0.5999999999999971,1.0,0,-0.3664768586640257,0.650043215657532
B3,I2,3,1.0,1.0,0.9753369798321188,1.0076619399645397,0.9896997479074676,0.1766855048392042,0.2505942997434608,0.5957597126836195,0.6020276699787491,1,-0.1418597545685687,0.6055783720880612
B3,ALL,18,1.0,1.0,0.9333196015227588,1.0734577920266632,0.9687720793741221,0.05398861643819955,0.24004441922339864,0.5957597126836195,1.0,1,-0.3664768586640257,0.650043215657532
OUT,R,6,1.0,1.0,0.9442039111333508,1.0716426280836306,0.9899569048611163,0.018019917445857,0.019670317866676848,1.0000000000000004,9.888944309666082,0,-0.0438518350632151,0.8789712481828191
OUT,I,15,1.0,1.0,0.9876199771214604,1.0722458199388285,0.9931417994103544,0.0189201857200777,0.0203246692158823,1.0198373382785306,10.15829088153558,1,-0.3358857379076689,1.4422377965487687
OUT,I2,3,1.0,1.0,0.9945689016449432,1.0567305253964152,1.0347102440082638,0.0375114306190078,0.1510198071853128,1.0062865887378794,1.0240265364708787,1,-0.1843615415641917,0.9111763480707852
OUT,ALL,24,1.0,1.0,0.9442039111333508,1.0722458199388285,0.9928370364656696,0.01962242746798,0.022513803487633252,1.0000000000000004,10.15829088153558,2,-0.3358857379076689,1.4422377965487687
__TOTAL__,ALL,87,1.0,1.0,0.9333196015227588,1.1055734147704996,0.9937315801842784,0.0375114306190078,0.5110967455568614,0.0499999999999974,10.15829088153558,4,-0.368103737510661,1.4422377965487687
