family,gamma1,gamma2,s,mu,sigma,E_true,m_folded,delta,delta_rel,ratio_true,W1,bound_ok,slack,C3,C4,E_edge,edge_valid,edge_capture,ratio_edge
Gaussian,0.0,0.0,0.0,0.0,1.0,0.7978845608028654,0.7978845608028654,0.0,0.0,1.0,0.0,True,,0.0,-0.7978845608028655,0.7978845608028654,True,,1.0
Gaussian,0.0,0.0,0.05,0.05,1.0,0.7988817087733653,0.7988817087733653,0.0,0.0,1.0,0.0,True,,-0.03984439140947664,-0.7948956086190542,0.7988817087733653,True,,1.0
Gaussian,0.0,0.0,0.1,0.1,1.0,0.8018706624094294,0.8018706624094294,0.0,0.0,1.0,0.0,True,,-0.07939050949540263,-0.7859660440044833,0.8018706624094294,True,,1.0
Gaussian,0.0,0.0,0.15,0.15,1.0,0.8068439695268507,0.8068439695268507,0.0,0.0,1.0,0.0,True,,-0.11834379927236649,-0.771207091924923,0.8068439695268507,True,,1.0
Gaussian,0.0,0.0,0.25,0.25,1.0,0.8226893964471603,0.8226893964471603,0.0,0.0,1.0,0.0,True,,-0.19333405840142454,-0.7250027190053427,0.8226893964471603,True,,1.0
Gaussian,0.0,0.0,0.4,0.4,1.0,0.860877673894906,0.860877673894906,0.0,0.0,1.0,0.0,True,,-0.2946161122426585,-0.6186938357095833,0.860877673894906,True,,1.0
Gaussian,0.0,0.0,0.6,0.6,1.0,0.9373454644835111,0.9373454644835111,0.0,0.0,1.0,0.0,True,,-0.39986952347015975,-0.42652749170150395,0.9373454644835111,True,,1.0
Gaussian,0.0,0.0,0.8,0.8,1.0,1.0404144677895306,1.0404144677895306,0.0,0.0,1.0,0.0,True,,-0.4635064844183726,-0.2085779179882679,1.0404144677895306,True,,1.0
Gaussian,0.0,0.0,1.0,1.0,1.0,1.1666309411753726,1.1666309411753726,0.0,0.0,1.0,0.0,True,,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753726,True,,1.0
Gaussian,0.0,0.0,1.5,1.5,1.0,1.5586135875252092,1.5586135875252092,0.0,0.0,1.0,0.0,True,,-0.38855278699767537,0.3237939891647291,1.5586135875252092,True,,1.0
Gaussian,0.0,0.0,2.0,2.0,1.0,2.0169814052336594,2.0169814052336594,0.0,0.0,1.0,0.0,True,,-0.2159638660527523,0.3239457990791286,2.0169814052336594,True,,1.0
Gaussian,0.0,0.0,3.0,3.0,1.0,3.000764308634096,3.000764308634096,0.0,0.0,1.0,0.0,True,,-0.02659109047162794,0.07090957459100765,3.000764308634096,True,,1.0
Gaussian,0.0,0.0,5.0,5.0,1.0,5.00000010692331,5.00000010692331,0.0,0.0,1.0,0.0,True,,-1.4867195146263237e-05,7.136253670787438e-05,5.00000010692331,True,,1.0
t4.5,0.0,12.0,0.0,0.0,1.0,0.7236174480591234,0.7978845608028654,-0.07426711274374198,-0.10263311497385834,0.906919977660664,0.1178239510712086,True,0.6303227151061805,0.0,-0.7978845608028655,0.39894228040143265,True,-3.371721959597104,0.49999999999999994
t4.5,0.0,12.0,0.05,0.05,1.0,0.7248831986266643,0.7988817087733653,-0.073998510146701,-0.10208335672132521,0.9073723815002332,0.1178239510712086,True,0.6280430207435408,-0.03984439140947664,-0.7948956086190542,0.4014339044638382,True,-3.3710244101076148,0.5024947999876174
t4.5,0.0,12.0,0.1,0.1,1.0,0.7286735115367069,0.8018706624094294,-0.0731971508727225,-0.10045260286511072,0.9087170109793236,0.1178239510712086,True,0.6212416932825885,-0.07939050949540263,-0.7859660440044833,0.4088876404071877,True,-3.368829487442386,0.5099171968439128
t4.5,0.0,12.0,0.15,0.15,1.0,0.7349677252763254,0.8068439695268507,-0.0718762442505253,-0.09779510280332654,0.9109167980859113,0.1178239510712086,True,0.610030843449528,-0.11834379927236649,-0.771207091924923,0.4212404235643892,True,-3.364826028171935,0.5220841196984009
t4.5,0.0,12.0,0.25,0.25,1.0,0.7549196209801703,0.8226893964471603,-0.06776977546699003,-0.08977084921835693,0.9176241048448438,0.1178239510712086,True,0.5751782625761073,-0.19333405840142454,-0.7250027190053427,0.46018803694448895,True,-3.3490122551644292,0.5593703272849292
t4.5,0.0,12.0,0.4,0.4,1.0,0.8023935295669571,0.860877673894906,-0.058484144327948906,-0.07288710859808671,0.9320645126463246,0.1178239510712086,True,0.4963688944075825,-0.2946161122426585,-0.6186938357095833,0.5515307560401144,True,-3.2894151296825633,0.6406610053491107
t4.5,0.0,12.0,0.6,0.6,1.0,0.8950929400939096,0.9373454644835111,-0.042252524389601476,-0.047204622555919735,0.9549232102884467,0.1178239510712086,True,0.3586072611337363,-0.39986952347015975,-0.42652749170150395,0.724081718632759,True,-3.0473610495858834,0.7724811673695322
t4.5,0.0,12.0,0.8,0.8,1.0,1.015772261849333,1.0404144677895306,-0.024642205940197615,-0.024259577531024108,0.9763150103126185,0.1178239510712086,True,0.20914428446984215,-0.4635064844183726,-0.2085779179882679,0.9361255087953967,True,-2.2321275638725386,0.8997621022939957
t4.5,0.0,12.0,1.0,1.0,1.0,1.1581676626002668,1.1666309411753726,-0.00846327857510576,-0.007307472698818391,0.992745539076326,0.1178239510712086,True,0.07182986564413253,-0.48394144903828695,2.4399969891786277e-16,1.1666309411753728,True,-2.6201263381153694e-14,1.0000000000000002
t4.5,0.0,12.0,1.5,1.5,1.0,1.5753856363958691,1.5586135875252092,0.016772048870659972,0.01064631318400914,1.010760876849079,0.1178239510712086,True,0.14234838263506833,-0.38855278699767537,0.3237939891647291,1.7205105821075737,True,-7.652785764628764,1.103872438863713
t4.5,0.0,12.0,2.0,2.0,1.0,2.0386271591349647,2.0169814052336594,0.021645753901305298,0.010617809050719249,1.0107317567951488,0.1178239510712086,True,0.18371268069446572,-0.2159638660527523,0.3239457990791286,2.1789543047732236,True,-5.482894810598247,1.080304607231022
t4.5,0.0,12.0,3.0,3.0,1.0,3.0126495291216857,3.000764308634096,0.011885220487589887,0.003945105586528324,1.0039607310888738,0.1178239510712086,True,0.10087270355079912,-0.02659109047162794,0.07090957459100765,3.0362190959296,True,-0.9830988270284586,1.0118152522653945
t4.5,0.0,12.0,5.0,5.0,1.0,5.002546173715499,5.00000010692331,0.002546066792188384,0.0005089541812859201,1.0005092133475484,0.1178239510712086,True,0.021609076669391537,-1.4867195146263237e-05,7.136253670787438e-05,5.000035788191664,True,0.01401427034972369,1.0000071362535183
