source,cell,s,gamma1,gamma2,ratio_obs,ratio_pred_edge,ratio_pred_null,caveat
nn_suite,Exp01/Exp01-A/ATM,8.431162790697675,-0.0574254058890558,-1.0448253681251003,0.9801,0.9999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-A/OTM_K110,8.978780487804878,-0.0584154871264316,-0.9247490234443,0.9819,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-A/OTM_K125,9.78764705882353,-0.0603855146725627,-0.7901241879781296,0.9831,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-B/ATM,8.775458937198069,-0.115960468164729,-0.9088609502807276,0.9858,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-B/OTM_K110,9.361878172588831,-0.0868606819707191,-0.8516580106630824,0.9873,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-B/OTM_K125,10.181280487804877,-0.0619990554631242,-0.7623553452094205,0.9879,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-C/ATM,9.308312020460358,-0.2529069611919033,-0.828241210283045,0.975,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-C/OTM_K110,9.82590425531915,-0.2578080863144742,-0.7702165900077627,0.977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-C/OTM_K125,10.536509433962264,-0.2617644463534158,-0.7074599467190459,0.9783,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-D/ATM,11.54824295010846,0.1905321785517956,-0.6252280046872456,0.9693,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-D/OTM_K110,12.249717194570136,0.1776529311292121,-0.7037830491441768,0.9714,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-D/OTM_K125,12.895390625,0.1558220098529822,-0.7826462619595533,0.9735,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-E/ATM,30.65882295719844,-0.2428263913880932,-0.8461751987873223,0.9977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-E/OTM_K110,33.721604166666665,-0.1904606167000722,-0.902155965787332,0.9972,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp01/Exp01-E/OTM_K125,35.76988235294118,-0.1387868697801212,-0.9083217202078367,0.9971,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-A/ATM,8.431162790697675,-0.0574254058890558,-1.0448253681251003,0.9801,0.9999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-A/OTM_K110,8.978780487804878,-0.0584154871264316,-0.9247490234443,0.9819,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-A/OTM_K125,9.78764705882353,-0.0603855146725627,-0.7901241879781296,0.9831,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-B/ATM,8.775458937198069,-0.115960468164729,-0.9088609502807276,0.9858,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-B/OTM_K110,9.361878172588831,-0.0868606819707191,-0.8516580106630824,0.9873,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-B/OTM_K125,10.181280487804877,-0.0619990554631242,-0.7623553452094205,0.9879,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-C/ATM,9.308312020460358,-0.2529069611919033,-0.828241210283045,0.975,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-C/OTM_K110,9.82590425531915,-0.2578080863144742,-0.7702165900077627,0.977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-C/OTM_K125,10.536509433962264,-0.2617644463534158,-0.7074599467190459,0.9783,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-D/ATM,11.54824295010846,0.1905321785517956,-0.6252280046872456,0.9693,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-D/OTM_K110,12.249717194570136,0.1776529311292121,-0.7037830491441768,0.9714,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-D/OTM_K125,12.895390625,0.1558220098529822,-0.7826462619595533,0.9735,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-E/ATM,30.65882295719844,-0.2428263913880932,-0.8461751987873223,0.9977,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-E/OTM_K110,33.721604166666665,-0.1904606167000722,-0.902155965787332,0.9972,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-E/OTM_K125,35.76988235294118,-0.1387868697801212,-0.9083217202078367,0.9971,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F1/ATM,9.07,-0.0575238999138226,-1.0619594384482156,0.9757,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F1/OTM_K110,9.21,-0.0611846655606506,-0.9472479522472832,0.9777,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F1/OTM_K125,11.096666666666668,-0.0648906831052621,-0.8141599101036019,0.979,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F2/ATM,8.066666666666666,-0.0575246172616086,-1.0528749428162216,0.9755,0.999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F2/OTM_K110,9.21375,-0.0615128041371786,-0.939719964662665,0.9775,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F2/OTM_K125,9.515714285714283,-0.0652139415134278,-0.8093185498086672,0.9789,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F3/ATM,8.375384615384617,-0.057471782953104,-1.0580030595002856,0.9759,0.9999999999999998,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F3/OTM_K110,9.213333333333331,-0.0611236679886015,-0.9407855740594466,0.9779,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F3/OTM_K125,9.991,-0.0651445951082719,-0.8079696467624231,0.9793,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F4/ATM,8.637142857142857,-0.055552479743586,-1.0565967023652325,0.9771,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F4/OTM_K110,9.208999999999998,-0.0586048587679344,-0.9363262480058356,0.979,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F4/OTM_K125,9.791764705882352,-0.0626093870197968,-0.8016117418861382,0.9804,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F5/ATM,8.463333333333333,-0.0561056204630939,-1.0523217181330216,0.9781,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F5/OTM_K110,8.89,-0.0582285205573189,-0.9323525179311858,0.9801,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-F5/OTM_K125,9.709166666666668,-0.0611530659907259,-0.7978610277007081,0.9814,1.0,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G1/ATM,3.366071428571429,0.1076634148152673,-0.963489396120969,1.005,0.9996098592264008,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G1/OTM_K110,3.684814814814815,0.122389518112795,-0.9432541846489664,1.0094,0.9998611268382094,1.0,measured moments have sampling error; kurt=raw(ref3)
nn_suite,Exp02/Exp02-G1/OTM_K125,3.9275,0.1161542868247641,-0.8648064458442719,1.0114,0.9999458760172222,1.0,measured moments have sampling error; kurt=raw(ref3)
