# ratio convention = boundary-suite (mu,sigma BOTH from cal seeds 0-39); NOT 387-suite (sigma from test)
pair,qoi,kurt,skew,rej_lil,rej_ad,ratio,sigma_delta,mu_delta,abs_s
A,L1,-0.028,-0.0878,False,False,0.8832,9.41e-06,-5.9e-07,0.0632
A,L2,-0.0148,-0.1907,False,False,0.7389,2.039e-05,-1.55e-06,0.0759
A,M,-0.8805,-0.1233,False,False,0.9847,0.00025481,0.00318944,12.5169
A,E,2.7168,1.8988,True,True,0.6271,0.00212118,0.00097656,0.4604
B,L1,0.2679,0.1385,False,False,0.9332,1.78e-05,5.2e-07,0.0294
B,L2,-0.7525,0.128,False,False,0.9176,3.447e-05,-2.7e-07,0.0079
B,M,-0.5472,0.0377,False,False,0.9953,0.00046808,0.00632949,13.5222
B,E,-0.9468,0.3339,True,True,1.2132,0.00265193,0.00283203,1.0679
C,L1,-0.3346,-0.3672,False,False,1.3512,2.756e-05,-1.76e-06,0.064
C,L2,-0.6957,0.0374,False,False,1.1728,6.292e-05,4.01e-06,0.0637
C,M,-0.2944,0.1597,False,False,0.9906,0.00091809,0.01258509,13.7079
C,E,3.7039,1.6658,True,True,1.138,0.00278154,0.00615234,2.2118
D,L1,-0.4826,-0.2197,False,False,1.2476,4.586e-05,-6.15e-06,0.1342
D,L2,0.3392,0.5667,False,False,1.2732,0.00013931,-2.491e-05,0.1788
D,M,-0.5105,0.0712,False,False,0.9839,0.00128317,0.03117876,24.2982
D,E,1.8366,0.5915,True,True,1.1158,0.00339734,0.01855469,5.4615
