arch,n_seeds,pair,payoff,kurt,rej_lil,rej_ad,ratio,sigma_delta
FNO1d_kou,30,A,ATM_call,0.0944,False,False,1.0011,4.15e-06
FNO1d_kou,30,A,OTM_call_1.10,-0.1427,False,False,1.0016,4.1e-06
FNO1d_kou,30,A,OTM_call_1.25,-0.4353,False,False,1.0021,3.91e-06
FNO1d_kou,30,A,OTM_put_0.90,-0.5426,False,False,1.0033,2.29e-06
FNO1d_kou,30,B,ATM_call,0.1139,False,False,1.0009,2.092e-05
FNO1d_kou,30,B,OTM_call_1.10,-0.1214,False,False,1.0015,2.065e-05
FNO1d_kou,30,B,OTM_call_1.25,-0.4164,False,False,1.002,1.968e-05
FNO1d_kou,30,B,OTM_put_0.90,-0.5867,False,False,1.0034,1.139e-05
FNO1d_kou,30,C,ATM_call,0.1265,True,False,1.0008,4.208e-05
FNO1d_kou,30,C,OTM_call_1.10,-0.1041,False,False,1.0013,4.148e-05
FNO1d_kou,30,C,OTM_call_1.25,-0.3996,False,False,1.0019,3.949e-05
FNO1d_kou,30,C,OTM_put_0.90,-0.6198,False,False,1.0036,2.229e-05
FNO1d_kou,30,D,ATM_call,0.0803,False,True,1.0002,0.00012842
FNO1d_kou,30,D,OTM_call_1.10,-0.0947,False,False,1.0009,0.00012582
FNO1d_kou,30,D,OTM_call_1.25,-0.3391,False,False,1.0015,0.00011914
FNO1d_kou,30,D,OTM_put_0.90,-0.7732,False,False,1.0041,6.019e-05
DeepONet_kou,30,A,ATM_call,0.35,False,False,0.9681,4.147e-05
DeepONet_kou,30,A,OTM_call_1.10,0.2132,False,False,0.9768,4.042e-05
DeepONet_kou,30,A,OTM_call_1.25,0.048,False,False,0.9861,3.695e-05
DeepONet_kou,30,A,OTM_put_0.90,1.3485,False,False,1.0698,2.413e-05
DeepONet_kou,30,B,ATM_call,-0.1532,False,False,0.9537,0.00021692
DeepONet_kou,30,B,OTM_call_1.10,-0.1687,False,False,0.9635,0.00021237
DeepONet_kou,30,B,OTM_call_1.25,-0.1753,False,False,0.9728,0.00019554
DeepONet_kou,30,B,OTM_put_0.90,0.9239,False,False,1.0892,0.0001142
DeepONet_kou,30,C,ATM_call,-0.203,False,False,0.92,0.00040113
DeepONet_kou,30,C,OTM_call_1.10,-0.1974,False,False,0.931,0.00039798
DeepONet_kou,30,C,OTM_call_1.25,-0.1624,False,False,0.9402,0.00037151
DeepONet_kou,30,C,OTM_put_0.90,-0.0878,False,False,1.0912,0.00024378
DeepONet_kou,30,D,ATM_call,-0.302,False,False,0.8743,0.00131285
DeepONet_kou,30,D,OTM_call_1.10,-0.3729,False,False,0.884,0.00135963
DeepONet_kou,30,D,OTM_call_1.25,-0.3706,False,False,0.8939,0.00132653
DeepONet_kou,30,D,OTM_put_0.90,0.2456,False,False,1.0213,0.00089903
DeepONet_kou,200,A,ATM_call,0.2768,True,False,0.958,5.681e-05
DeepONet_kou,200,A,OTM_call_1.10,0.2784,False,False,0.9601,5.437e-05
DeepONet_kou,200,A,OTM_call_1.25,0.2525,False,False,0.9612,4.971e-05
DeepONet_kou,200,A,OTM_put_0.90,0.0254,False,False,1.0218,4.239e-05
DeepONet_kou,200,B,ATM_call,0.6888,False,False,0.9636,0.00028903
DeepONet_kou,200,B,OTM_call_1.10,0.673,False,False,0.9654,0.00027727
DeepONet_kou,200,B,OTM_call_1.25,0.6246,False,False,0.9663,0.00025446
DeepONet_kou,200,B,OTM_put_0.90,0.0031,True,True,1.0167,0.00021449
DeepONet_kou,200,C,ATM_call,0.5906,False,False,0.9609,0.0005399
DeepONet_kou,200,C,OTM_call_1.10,0.6067,False,False,0.9633,0.000521
DeepONet_kou,200,C,OTM_call_1.25,0.5828,False,False,0.9649,0.00048164
DeepONet_kou,200,C,OTM_put_0.90,-0.0052,False,False,1.0174,0.00040068
DeepONet_kou,200,D,ATM_call,-0.3511,False,False,0.9857,0.00152445
DeepONet_kou,200,D,OTM_call_1.10,-0.3483,False,False,0.9867,0.00148301
DeepONet_kou,200,D,OTM_call_1.25,-0.3455,False,False,0.9878,0.00137397
DeepONet_kou,200,D,OTM_put_0.90,0.3011,False,False,1.0136,0.00102822
