block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp01,Exp01-A,ATM,150,50,2.117,4.3e-05,-0.00036254,0.00036254,0.00035532,0.9801,True,exp01,A,,,,,,,,,
Exp01,Exp01-A,OTM_K110,150,50,2.117,4.1e-05,-0.00036813,0.00036813,0.00036147,0.9819,True,exp01,A,,,,,,,,,
Exp01,Exp01-A,OTM_K125,150,50,2.117,3.4e-05,-0.00033278,0.00033278,0.00032717,0.9831,True,exp01,A,,,,,,,,,
Exp01,Exp01-B,ATM,150,50,2.251,0.000207,-0.00181652,0.00181652,0.00179077,0.9858,True,exp01,B,,,,,,,,,
Exp01,Exp01-B,OTM_K110,150,50,2.251,0.000197,-0.00184429,0.00184429,0.00182086,0.9873,True,exp01,B,,,,,,,,,
Exp01,Exp01-B,OTM_K125,150,50,2.251,0.000164,-0.00166973,0.00166973,0.00164958,0.9879,True,exp01,B,,,,,,,,,
Exp01,Exp01-C,ATM,150,50,2.281,0.000391,-0.00363955,0.00363955,0.00354864,0.975,True,exp01,C,,,,,,,,,
Exp01,Exp01-C,OTM_K110,150,50,2.281,0.000376,-0.00369454,0.00369454,0.00360969,0.977,True,exp01,C,,,,,,,,,
Exp01,Exp01-C,OTM_K125,150,50,2.281,0.000318,-0.00335061,0.00335061,0.00327783,0.9783,True,exp01,C,,,,,,,,,
Exp01,Exp01-D,ATM,150,50,2.774,0.000922,-0.01064748,0.01064748,0.01032022,0.9693,True,exp01,D,,,,,,,,,
Exp01,Exp01-D,OTM_K110,150,50,2.774,0.000884,-0.01082875,0.01082875,0.01051924,0.9714,True,exp01,D,,,,,,,,,
Exp01,Exp01-D,OTM_K125,150,50,2.774,0.000768,-0.00990366,0.00990366,0.00964122,0.9735,True,exp01,D,,,,,,,,,
Exp01,Exp01-E,ATM,150,50,7.945,0.001028,-0.03151727,0.03151727,0.03144407,0.9977,True,exp01,E,,,,,,,,,
Exp01,Exp01-E,OTM_K110,150,50,7.945,0.00096,-0.03237274,0.03237274,0.03228345,0.9972,True,exp01,E,,,,,,,,,
Exp01,Exp01-E,OTM_K125,150,50,7.945,0.00085,-0.0304044,0.0304044,0.03031607,0.9971,True,exp01,E,,,,,,,,,
Exp02,Exp02-A,ATM,150,50,2.117,4.3e-05,-0.00036254,0.00036254,0.00035532,0.9801,True,exp02,A,,,,,,,,,
Exp02,Exp02-A,OTM_K110,150,50,2.117,4.1e-05,-0.00036813,0.00036813,0.00036147,0.9819,True,exp02,A,,,,,,,,,
Exp02,Exp02-A,OTM_K125,150,50,2.117,3.4e-05,-0.00033278,0.00033278,0.00032717,0.9831,True,exp02,A,,,,,,,,,
Exp02,Exp02-B,ATM,150,50,2.251,0.000207,-0.00181652,0.00181652,0.00179077,0.9858,True,exp02,B,,,,,,,,,
Exp02,Exp02-B,OTM_K110,150,50,2.251,0.000197,-0.00184429,0.00184429,0.00182086,0.9873,True,exp02,B,,,,,,,,,
Exp02,Exp02-B,OTM_K125,150,50,2.251,0.000164,-0.00166973,0.00166973,0.00164958,0.9879,True,exp02,B,,,,,,,,,
Exp02,Exp02-C,ATM,150,50,2.281,0.000391,-0.00363955,0.00363955,0.00354864,0.975,True,exp02,C,,,,,,,,,
Exp02,Exp02-C,OTM_K110,150,50,2.281,0.000376,-0.00369454,0.00369454,0.00360969,0.977,True,exp02,C,,,,,,,,,
Exp02,Exp02-C,OTM_K125,150,50,2.281,0.000318,-0.00335061,0.00335061,0.00327783,0.9783,True,exp02,C,,,,,,,,,
Exp02,Exp02-D,ATM,150,50,2.774,0.000922,-0.01064748,0.01064748,0.01032022,0.9693,True,exp02,D,,,,,,,,,
Exp02,Exp02-D,OTM_K110,150,50,2.774,0.000884,-0.01082875,0.01082875,0.01051924,0.9714,True,exp02,D,,,,,,,,,
Exp02,Exp02-D,OTM_K125,150,50,2.774,0.000768,-0.00990366,0.00990366,0.00964122,0.9735,True,exp02,D,,,,,,,,,
Exp02,Exp02-E,ATM,150,50,7.945,0.001028,-0.03151727,0.03151727,0.03144407,0.9977,True,exp02,E,,,,,,,,,
Exp02,Exp02-E,OTM_K110,150,50,7.945,0.00096,-0.03237274,0.03237274,0.03228345,0.9972,True,exp02,E,,,,,,,,,
Exp02,Exp02-E,OTM_K125,150,50,7.945,0.00085,-0.0304044,0.0304044,0.03031607,0.9971,True,exp02,E,,,,,,,,,
Exp02,Exp02-F1,ATM,150,50,2.109,4e-06,-3.628e-05,3.628e-05,3.54e-05,0.9757,True,exp02,F1,,,,,,,,,
Exp02,Exp02-F1,OTM_K110,150,50,2.109,4e-06,-3.684e-05,3.684e-05,3.602e-05,0.9777,True,exp02,F1,,,,,,,,,
Exp02,Exp02-F1,OTM_K125,150,50,2.109,3e-06,-3.329e-05,3.329e-05,3.26e-05,0.979,True,exp02,F1,,,,,,,,,
Exp02,Exp02-F2,ATM,150,50,2.108,9e-06,-7.26e-05,7.26e-05,7.082e-05,0.9755,True,exp02,F2,,,,,,,,,
Exp02,Exp02-F2,OTM_K110,150,50,2.108,8e-06,-7.371e-05,7.371e-05,7.206e-05,0.9775,True,exp02,F2,,,,,,,,,
Exp02,Exp02-F2,OTM_K125,150,50,2.108,7e-06,-6.661e-05,6.661e-05,6.521e-05,0.9789,True,exp02,F2,,,,,,,,,
Exp02,Exp02-F3,ATM,150,50,2.106,1.3e-05,-0.00010888,0.00010888,0.00010625,0.9759,True,exp02,F3,,,,,,,,,
Exp02,Exp02-F3,OTM_K110,150,50,2.106,1.2e-05,-0.00011056,0.00011056,0.00010811,0.9779,True,exp02,F3,,,,,,,,,
Exp02,Exp02-F3,OTM_K125,150,50,2.106,1e-05,-9.991e-05,9.991e-05,9.784e-05,0.9793,True,exp02,F3,,,,,,,,,
Exp02,Exp02-F4,ATM,150,50,2.095,2.1e-05,-0.00018138,0.00018138,0.00017723,0.9771,True,exp02,F4,,,,,,,,,
Exp02,Exp02-F4,OTM_K110,150,50,2.095,2e-05,-0.00018418,0.00018418,0.00018032,0.979,True,exp02,F4,,,,,,,,,
Exp02,Exp02-F4,OTM_K125,150,50,2.095,1.7e-05,-0.00016646,0.00016646,0.0001632,0.9804,True,exp02,F4,,,,,,,,,
Exp02,Exp02-F5,ATM,150,50,2.092,3e-05,-0.0002539,0.0002539,0.00024835,0.9781,True,exp02,F5,,,,,,,,,
Exp02,Exp02-F5,OTM_K110,150,50,2.092,2.9e-05,-0.00025781,0.00025781,0.00025267,0.9801,True,exp02,F5,,,,,,,,,
Exp02,Exp02-F5,OTM_K125,150,50,2.092,2.4e-05,-0.00023302,0.00023302,0.00022868,0.9814,True,exp02,F5,,,,,,,,,
Exp02,Exp02-G1,ATM,150,50,1.754,2.8e-05,-9.425e-05,9.426e-05,9.473e-05,1.005,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G1,OTM_K110,150,50,1.754,2.7e-05,-9.949e-05,9.949e-05,0.00010043,1.0094,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G1,OTM_K125,150,50,1.754,2.4e-05,-9.426e-05,9.426e-05,9.533e-05,1.0114,True,exp02,G1,,,,,,,,,
Exp02,Exp02-G2,ATM,150,50,3.231,4.5e-05,-7.795e-05,7.95e-05,7.693e-05,0.9676,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G2,OTM_K110,150,50,3.231,4.5e-05,-0.00010181,0.00010215,0.00010192,0.9977,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G2,OTM_K125,150,50,3.231,4.1e-05,-0.00012769,0.00012771,0.00012918,1.0115,True,exp02,G2,,,,,,,,,
Exp02,Exp02-G3,ATM,150,50,2.266,0.000141,-0.0011264,0.0011264,0.00112935,1.0026,True,exp02,G3,,,,,,,,,
Exp02,Exp02-G3,OTM_K110,150,50,2.266,0.000134,-0.00115133,0.00115133,0.00115633,1.0043,True,exp02,G3,,,,,,,,,
