block,config_id,payoff,exp,pair,model,proto_pair,scenario,sigma_Delta,mu_Delta,Delta,b_Delta,s,J,S,J_plus_S,J_over_JplusS,J_fraction,theory_mr,empirical_mr,deviation_pct,sanity_abs_err,sanity_rel_err
Exp01,Exp01-A,ATM,exp01,A,heston,,,4.3e-05,-0.00036254,,,-8.431162790697675,1.6995301561355455e-22,,,,4.687841772316284e-19,0.00036254,0.00035532,1.991504385722953,1.6995301561355455e-22,1.6995301561355455e-22
Exp01,Exp01-A,OTM_K110,exp01,A,heston,,,4.1e-05,-0.00036813,,,-8.978780487804878,1.2209380078685033e-24,,,,3.3165947026009922e-21,0.00036813,0.00036147,1.8091435090864527,1.2209380078685033e-24,1.2209380078685033e-24
Exp01,Exp01-A,OTM_K125,exp01,A,heston,,,3.4e-05,-0.00033278,,,-9.78764705882353,4.331604619675573e-28,,,,1.3016421118082735e-24,0.00033278,0.00032717,1.6857984253861424,4.331604619675573e-28,4.331604619675573e-28
Exp01,Exp01-B,ATM,exp01,B,heston,,,0.000207,-0.00181652,,,-8.775458937198069,3.916876879984611e-23,,,,2.1562530993243183e-20,0.00181652,0.00179077,1.4175456367119588,3.916876879984611e-23,3.916876879984611e-23
Exp01,Exp01-B,OTM_K110,exp01,B,heston,,,0.000197,-0.00184429,,,-9.361878172588833,1.6126852587420994e-25,,,,8.744206489988556e-23,0.00184429,0.00182086,1.270407582321642,1.6126852587420994e-25,1.6126852587420994e-25
Exp01,Exp01-B,OTM_K125,exp01,B,heston,,,0.000164,-0.00166973,,,-10.181280487804877,3.800655075992278e-29,,,,2.276209372768219e-26,0.00166973,0.00164958,1.2067819348038245,3.800655075992278e-29,3.800655075992278e-29
Exp01,Exp01-C,ATM,exp01,C,heston,,,0.000391,-0.00363955,,,-9.308312020460358,5.336443539943073e-25,,,,1.4662371831526076e-22,0.00363955,0.00354864,2.4978362709675683,5.336443539943073e-25,5.336443539943073e-25
Exp01,Exp01-C,OTM_K110,exp01,C,heston,,,0.000376,-0.00369454,,,-9.82590425531915,3.2668522708023176e-27,,,,8.842378945152353e-25,0.00369454,0.00360969,2.296632327705206,3.2668522708023176e-27,3.2668522708023176e-27
Exp01,Exp01-C,OTM_K125,exp01,C,heston,,,0.000318,-0.00335061,,,-10.536509433962264,1.739115666211373e-30,,,,5.190444922600282e-28,0.00335061,0.00327783,2.1721417891070627,1.739115666211373e-30,1.739115666211373e-30
Exp01,Exp01-D,ATM,exp01,D,heston,,,0.000922,-0.01064748,,,-11.548242950108461,5.928464824713274e-35,,,,5.5679511252552464e-33,0.01064748,0.01032022,3.073591122030761,5.928464824713274e-35,5.928464824713274e-35
Exp01,Exp01-D,OTM_K110,exp01,D,heston,,,0.000884,-0.01082875,,,-12.249717194570135,1.200876584131173e-38,,,,1.1089706421619976e-36,0.01082875,0.01051924,2.858224633498796,1.200876584131173e-38,1.200876584131173e-38
Exp01,Exp01-D,OTM_K125,exp01,D,heston,,,0.000768,-0.00990366,,,-12.895390625,2.8125653553471277e-42,,,,2.8399251946726035e-40,0.00990366,0.00964122,2.649929420032582,2.8125653553471277e-42,2.8125653553471277e-42
Exp01,Exp01-E,ATM,exp01,E,heston,,,0.001028,-0.03151727,,,-30.658822957198442,6.744921288402261e-211,,,,2.1400715507409942e-209,0.03151727,0.03144407,0.23225361841302528,6.744921288402261e-211,6.744921288402261e-211
Exp01,Exp01-E,OTM_K110,exp01,E,heston,,,0.00096,-0.03237274,,,-33.721604166666665,7.925169349164442e-254,,,,2.44809965086812e-252,0.03237274,0.03228345,0.2758184818461462,7.925169349164442e-254,7.925169349164442e-254
Exp01,Exp01-E,OTM_K125,exp01,E,heston,,,0.00085,-0.0304044,,,-35.76988235294118,7.705183843897235e-285,,,,2.534233151746864e-283,0.0304044,0.03031607,0.2905171619897118,7.705183843897235e-285,7.705183843897235e-285
