model,block,exp,config_id,payoff,sigma_delta,mu_delta,Delta,b_Delta,J_hat,S_hat,empirical_mr,theory_mr,corrected,ratio_corrected,ratio_b5_raw
heston,Exp01,exp01,Exp01-A,ATM,4.3e-05,-0.00036254,-0.00032995158206299615,-3.258841793700386e-05,1.699530156135482e-22,3.258841793700386e-05,0.00035532,0.00036254,0.00032273158206299615,0.9781180015720563,0.9801
heston,Exp01,exp01,Exp01-A,OTM_K110,4.1e-05,-0.00036813,-0.00033689947793862687,-3.123052206137312e-05,1.2209380078684875e-24,3.123052206137312e-05,0.00036147,0.00036813,0.0003302394779386269,0.9802314920736884,0.9819
heston,Exp01,exp01,Exp01-A,OTM_K125,3.4e-05,-0.00033278,-0.00030486422910236546,-2.7915770897634566e-05,4.331604619675573e-28,2.7915770897634566e-05,0.00032717,0.00033278,0.00029925422910236543,0.9815983658807136,0.9831
heston,Exp01,exp01,Exp01-B,ATM,0.000207,-0.00181652,-0.0016421740919256723,-0.00017434590807432777,3.916876879984611e-23,0.00017434590807432777,0.00179077,0.00181652,0.0016164240919256721,0.9843195675010286,0.9858
heston,Exp01,exp01,Exp01-B,OTM_K110,0.000197,-0.00184429,-0.0016773908245093204,-0.00016689917549067958,1.612685258742123e-25,0.00016689917549067958,0.00182086,0.00184429,0.0016539608245093205,0.9860318778082897,0.9873
heston,Exp01,exp01,Exp01-B,OTM_K125,0.000164,-0.00166973,-0.0015206192801209475,-0.00014911071987905246,3.8006550759923264e-29,0.00014911071987905246,0.00164958,0.00166973,0.0015004692801209476,0.986748819863446,0.9879
heston,Exp01,exp01,Exp01-C,ATM,0.000391,-0.00363955,-0.003265751445223251,-0.0003737985547767491,5.336443539942885e-25,0.0003737985547767491,0.00354864,0.00363955,0.003174841445223251,0.9721626089661624,0.975
heston,Exp01,exp01,Exp01-C,OTM_K110,0.000376,-0.00369454,-0.0033373114491413924,-0.00035722855085860766,3.2668522708023176e-27,0.00035722855085860766,0.00360969,0.00369454,0.0032524614491413924,0.9745753426693724,0.977
heston,Exp01,exp01,Exp01-C,OTM_K125,0.000318,-0.00335061,-0.003031986083021648,-0.00031862391697835184,1.73911566621149e-30,0.00031862391697835184,0.00327783,0.00335061,0.002959206083021648,0.9759959320369082,0.9783
heston,Exp01,exp01,Exp01-D,ATM,0.000922,-0.01064748,-0.00958505996244208,-0.00106242003755792,5.928464824713274e-35,0.00106242003755792,0.01032022,0.01064748,0.00925779996244208,0.9658572819280912,0.9693
heston,Exp01,exp01,Exp01-D,OTM_K110,0.000884,-0.01082875,-0.00981131944748165,-0.0010174305525183502,1.200876584131173e-38,0.0010174305525183502,0.01051924,0.01082875,0.009501809447481649,0.9684537842584011,0.9714
heston,Exp01,exp01,Exp01-D,OTM_K125,0.000768,-0.00990366,-0.008985120435511028,-0.0009185395644889724,2.8125653553471277e-42,0.0009185395644889724,0.00964122,0.00990366,0.008722680435511028,0.9707917103745451,0.9735
heston,Exp01,exp01,Exp01-E,ATM,0.001028,-0.03151727,-0.029848411618922033,-0.0016688583810779666,6.744921288404081e-211,0.0016688583810779666,0.03144407,0.03151727,0.02977521161892203,0.9975476081965582,0.9977
