est,model,pair,payoff,n_seed,s,ratio,KS_p,KS_rej,AD_rej,skew,kurt
NN,heston,A,price_ATMcall,200,-8.230549755763885,0.9999999999999966,0.6017241617323735,0,0,-0.0422308423321523,2.841670984288708
NN,heston,A,delta_ATM,200,-2.922389473055665,1.000256308169972,0.8754406601982867,0,0,0.03523297723719504,2.7185035496265937
NN,heston,A,digital_OTM110,200,-2.345880818156983,0.9976598561182646,0.5070303093848949,0,0,-0.04966656780770237,2.7452098879302813
NN,heston,B,price_ATMcall,200,-8.57659152254914,0.999999999999999,0.9811307590769472,0,0,-0.04993395671789393,2.93946075625332
NN,heston,B,delta_ATM,200,-2.978014597187912,1.0000656771585723,0.7663523099454059,0,0,0.015889764101706637,2.7331942609322875
NN,heston,B,digital_OTM110,200,-2.360641910621587,0.9978200624103397,0.9915172470942877,0,0,-0.0972150491725489,2.7628453545083262
NN,heston,C,price_ATMcall,200,-8.815305297635286,1.0000000000000002,0.9657624519244967,0,0,-0.08738133675929442,3.012313773431261
NN,heston,C,delta_ATM,200,-3.139331163730058,0.9998524623265604,0.9968257093656581,0,0,0.0494702408347229,2.47178028856968
NN,heston,C,digital_OTM110,200,-2.457314527823166,0.9981430908726148,0.9828354400524729,0,0,0.027159869865225828,2.4148563841977997
NN,heston,D,price_ATMcall,200,-9.910184235373496,0.9999999999999996,0.867841769954391,0,0,-0.1286754620451392,2.908581576076288
NN,heston,D,delta_ATM,200,-3.335019912894295,0.9999332243898393,0.44623241751859977,0,0,-0.28510589783919427,3.0998479254921096
NN,heston,D,digital_OTM110,200,-2.412460890357268,0.9982625717141894,0.9002818881716541,0,0,-0.16797538920524321,2.9659192267044334
NN,kou,A,price_ATMcall,170,-4.685033034711267,0.9999998820799325,0.48634118557979367,0,0,-0.21279591765383185,3.1750271252278828
NN,kou,A,delta_ATM,170,-2.0329319247755557,1.0020116173641493,0.9565126028561896,0,0,0.02444750998286719,3.2856436345967883
NN,kou,A,digital_OTM110,170,-0.7525129145858539,1.0057975579388903,0.8690083439894994,0,0,0.054280820186696985,3.636310888109703
NN,kou,B,price_ATMcall,170,-4.810570668120007,0.9999999396514191,0.7177316017550622,0,0,-0.3019707777282893,3.7613377699863144
NN,kou,B,delta_ATM,170,-2.057335716555936,1.0027675028137975,0.9871074832502962,0,0,-0.05235977346349338,3.718194510674887
NN,kou,B,digital_OTM110,170,-0.7239368764514131,0.9929242375328352,0.7695365919654527,0,0,0.008288104105772732,3.84944820066036
NN,kou,C,price_ATMcall,170,-5.152480337847056,0.9999999909376923,0.6811260365876237,0,0,-0.37000088620724236,3.70496017133049
NN,kou,C,delta_ATM,170,-2.1915744899854315,1.0003204504998375,0.9741377377453022,0,0,-0.0889735926163933,3.172131435521269
NN,kou,C,digital_OTM110,170,-0.7252436664149028,0.9974153840339616,0.9987216743307209,0,0,0.005805798856885364,3.0550598546619043
NN,kou,D,price_ATMcall,170,-6.123605933833214,0.9999999999767595,0.8662477122842307,0,0,-0.29075284168498033,2.731344121058162
NN,kou,D,delta_ATM,170,-2.6016697155592166,0.9988818808932557,0.6234286261118593,0,0,-0.20473884758019317,2.545332449266592
NN,kou,D,digital_OTM110,170,-0.5874840599263496,1.0127691469716515,0.98675849523079,0,0,-0.01742891022388973,2.6890884791592984
RF,heston,A,price_ATMcall,200,-0.5960739897580212,0.6371184092753396,5.777495429952836e-14,1,1,-2.8672688383549714,12.546315173895298
RF,heston,A,delta_ATM,200,-0.5907758996291226,0.6330583444487377,3.8454352645281526e-14,1,1,-2.944580175735351,13.260482627261212
RF,heston,A,digital_OTM110,200,-0.5587586747148993,0.6078110639483333,3.0099387444932196e-15,1,1,-3.4798546351965816,18.79684817547778
RF,heston,B,price_ATMcall,200,-0.6836045852714545,0.7001663024682754,2.3108298013942505e-10,1,1,-2.8187549636286566,11.660789795398411
RF,heston,B,delta_ATM,200,-0.643495008957114,0.6769259295161539,3.3491522111075914e-10,1,1,-2.9837842334021176,12.650915327448457
RF,heston,B,digital_OTM110,200,-0.49427841633539243,0.5806771419402685,3.363335320343301e-14,1,1,-3.5731638318602217,16.485444101952258
RF,heston,C,price_ATMcall,200,-0.9726540065728412,0.8473350392401119,2.6089955117385363e-06,1,1,-2.462861229433007,10.183334903623464
RF,heston,C,delta_ATM,200,-0.90326979640113,0.8204224005040002,4.93502105630045e-07,1,1,-2.6412685145059775,11.128967042258493
RF,heston,C,digital_OTM110,200,-0.647535139669244,0.686490308393478,2.1754002735474752e-11,1,1,-3.297035921520012,14.914830007520475
RF,heston,D,price_ATMcall,200,-1.8328475567478877,0.9858673897050159,0.00023722173885194748,1,1,-2.0935878619581385,8.505507314448694
RF,heston,D,delta_ATM,200,-1.6397617276491423,0.9748535714273691,6.017511761311986e-05,1,1,-2.2309861763011933,9.258482068539722
RF,heston,D,digital_OTM110,200,-0.933883607051702,0.8810509352985336,5.023658634032458e-07,1,1,-2.385667668548983,11.874572475658455
RF,kou,A,price_ATMcall,200,0.1486501261696739,0.18437004411532487,5.626173766455211e-49,1,1,7.099731448881584,52.81280137342195
RF,kou,A,delta_ATM,200,0.13145501861758402,0.1634014781335404,7.517159856682321e-48,1,1,9.966352552860648,113.35800687049031
RF,kou,A,digital_OTM110,200,0.09725000825615404,0.12132732203640662,2.6357970804960545e-46,1,1,13.27038378091892,182.87103372647817
RF,kou,B,price_ATMcall,200,-3.3486507469513116,0.9999368838304856,0.9983401105092542,0,0,0.0647131698863028,2.7988154449000047
RF,kou,B,delta_ATM,200,-3.3385424557222496,0.9999341889862053,0.9875938425904748,0,0,0.05712113832681149,2.838155509750971
RF,kou,B,digital_OTM110,200,-3.2816176163919475,0.9999168450248443,0.986223423266596,0,0,0.05288562246178977,2.8191495604094725
RF,kou,C,price_ATMcall,200,-3.374208506696508,0.9999432363487014,0.7562735595451587,0,0,0.13716136718663277,2.800174806377851
