config_id,model,block,payoff,Delta,sigma_delta_mlp,mu_delta_mlp,b_Delta_mlp,empirical_mr_mlp,J_mlp,S_mlp,M_pred_mlp,raw_acc_err_mlp,residual_NN_error_mlp,explained_fraction_mlp,sigma_delta_deeponet,mu_delta_deeponet,b_Delta_deeponet,empirical_mr_deeponet,J_deeponet,S_deeponet,M_pred_deeponet,raw_acc_err_deeponet,residual_NN_error_deeponet,explained_fraction_deeponet
Exp01-A,heston,Exp01,ATM,-0.0003299515820629,2.3e-05,-0.00029844,3.151158206289996e-05,0.00028919,2.9463021210453286e-44,-3.151158206289996e-05,-3.151158206289996e-05,0.1235380712771653,-0.02803441626849563,0.7730706333790927,4.3e-05,-0.00036254,-3.258841793710003e-05,0.00035532,1.699530156135482e-22,3.258841793710003e-05,3.258841793710003e-05,0.07688527443479251,-0.02188199842795003,1.2846058440814758
Exp01-A,heston,Exp01,OTM_K110,-0.0003368994779386,2.074e-05,-0.00030791,2.898947793859998e-05,0.00029869,1.0195506739864772e-55,-2.898947793859998e-05,-2.898947793859998e-05,0.1134150701936192,-0.02736721367576694,0.7586986136053493,4.1e-05,-0.00036813,-3.123052206140001e-05,0.00036147,1.2209380078684875e-24,3.123052206140001e-05,3.123052206140001e-05,0.07293131533400009,-0.01976850792631312,1.271056511675132
Exp01-A,heston,Exp01,OTM_K125,-0.0003048642291023,1.683e-05,-0.00027948,2.538422910230005e-05,0.00027166,6.339142204005026e-68,-2.538422910230005e-05,-2.538422910230005e-05,0.10891480840527876,-0.025650762711737784,0.7644878314775186,3.4e-05,-0.00033278,-2.7915770897699998e-05,0.00032717,4.331604619675573e-28,2.7915770897699998e-05,2.7915770897699998e-05,0.07316624506384797,-0.01840163411929031,1.2515044212427775
Exp01-B,heston,Exp01,ATM,-0.0016421740919256,0.00011103,-0.00148857,0.00015360409192560005,0.00145431,4.512188464079832e-46,-0.00015360409192560005,-0.00015360409192560005,0.11439961989980738,-0.020862587084069104,0.8176341223656091,0.000207,-0.00181652,-0.00017434590807439997,0.00179077,3.916876879984611e-23,0.00017434590807439997,0.00017434590807439997,0.09048730509452713,-0.015680432498972094,1.1732887556170626
Exp01-B,heston,Exp01,OTM_K110,-0.0016773908245093,0.00010026,-0.00153572,0.00014167082450930002,0.00150056,3.79938043761476e-58,-0.00014167082450930002,-0.00014167082450930002,0.10542016918509717,-0.02096112574735565,0.8011658878050933,0.000197,-0.00184429,-0.00016689917549069996,0.00182086,1.612685258742123e-25,0.00016689917549069996,0.00016689917549069996,0.08553115552701933,-0.013968122191710454,1.1633103411925485
Exp01-B,heston,Exp01,OTM_K125,-0.0015206192801209,8.139e-05,-0.00139609,0.00012452928012089996,0.00136544,2.8089440580874276e-71,-0.00012452928012089996,-0.00012452928012089996,0.10205005430982172,-0.02015626159729016,0.8024865176838006,0.000164,-0.00166973,-0.00014911071987909995,0.00164958,3.8006550759923264e-29,0.00014911071987909995,0.00014911071987909995,0.08480802628574251,-0.01325118013655446,1.156249127787828
Exp01-C,heston,Exp01,ATM,-0.0032657514452232,0.00021569,-0.00298217,0.00028358144522319965,0.00290298,2.7356654871464447e-48,-0.00028358144522319965,-0.00028358144522319965,0.11108360550642153,-0.024248630469361383,0.7817082875658046,0.000391,-0.00363955,-0.0003737985547768003,0.00354864,5.336443539942885e-25,0.0003737985547768003,0.0003737985547768003,0.08662280627344744,-0.027837391033838074,1.3213633017840833
Exp01-C,heston,Exp01,OTM_K110,-0.0033373114491413,0.00019589,-0.00307529,0.0002620214491413,0.00299576,1.8999300821278108e-60,-0.0002620214491413,-0.0002620214491413,0.10234329469884572,-0.02383055978202552,0.7671507463957549,0.000376,-0.00369454,-0.00035722855085870003,0.00360969,3.2668522708023176e-27,0.00035722855085870003,0.00035722855085870003,0.08161616169470302,-0.025424657330628275,1.3115149843205425
Exp01-C,heston,Exp01,OTM_K125,-0.0030319860830216,0.00016078,-0.00279944,0.00023254608302160015,0.00273102,6.179026241688602e-73,-0.00023254608302160015,-0.00023254608302160015,0.09926367561742402,-0.022566066639664255,0.7726654136137674,0.000318,-0.00335061,-0.0003186239169784,0.00327783,1.73911566621149e-30,0.0003186239169784,0.0003186239169784,0.08108345825037497,-0.024004067963092186,1.2960414920756194
Exp01-D,heston,Exp01,ATM,-0.009585059962442,0.00055117,-0.00888916,0.0006958999624419992,0.008688,5.518745170735074e-63,-0.0006958999624419992,-0.0006958999624419992,0.09358939494974787,-0.020986827499068744,0.7757563502751837,0.000922,-0.01064748,-0.0010624200375580015,0.01032022,5.928464824713274e-35,0.0010624200375580015,0.0010624200375580015,0.07669853297096148,-0.03414271807190913,1.445154773492679
Exp01-D,heston,Exp01,OTM_K110,-0.0098113194474816,0.00050921,-0.00916192,0.0006493994474815988,0.00896693,6.283698574020632e-77,-0.0006493994474815988,-0.0006493994474815988,0.08606278207548733,-0.01987398341718977,0.7690757498432027,0.000884,-0.01082875,-0.0010174305525184005,0.01051924,1.200876584131173e-38,0.0010174305525184005,0.0010174305525184005,0.07215345054330191,-0.03154621574159903,1.437210078022076
Exp01-D,heston,Exp01,OTM_K125,-0.008985120435511,0.00043559,-0.00839159,0.0005935304355109989,0.00822966,2.3818680616309123e-87,-0.0005935304355109989,-0.0005935304355109989,0.08407905502582566,-0.018022017752819565,0.7856538974268451,0.000768,-0.00990366,-0.0009185395644890001,0.00964122,2.8125653553471277e-42,0.0009185395644890001,0.0009185395644890001,0.07302067559339147,-0.02920828962545495,1.4000002655151873
Exp01-E,heston,Exp01,ATM,-0.029848411618922,0.00146123,-0.02825948,0.0015889316189219987,0.02796148,1.877535664236866e-87,-0.0015889316189219987,-0.0015889316189219987,0.06321715349589335,-0.009983780839148124,0.8420716484838774,0.001028,-0.03151727,-0.0016688583810780012,0.03144407,6.744921288404081e-211,0.0016688583810780012,0.0016688583810780012,0.05345873681487469,-0.0024523918034418377,1.0458744809465732
