config_id,model,payoff,sigma_delta_mlp,mu_delta_mlp,theory_mr_mlp,empirical_mr_mlp,ratio_mlp,ratio_deeponet,in_range_mlp,in_range_deeponet,n_cal_mlp,n_test_mlp
Exp01-A,heston,ATM,2.3e-05,-0.00029844,0.00029844,0.00028919,0.969,0.9801,True,True,80,20
Exp01-A,heston,OTM_K110,2.074e-05,-0.00030791,0.00030791,0.00029869,0.9701,0.9819,True,True,80,20
Exp01-A,heston,OTM_K125,1.683e-05,-0.00027948,0.00027948,0.00027166,0.972,0.9831,True,True,80,20
Exp01-B,heston,ATM,0.00011103,-0.00148857,0.00148857,0.00145431,0.977,0.9858,True,True,80,20
Exp01-B,heston,OTM_K110,0.00010026,-0.00153572,0.00153572,0.00150056,0.9771,0.9873,True,True,80,20
Exp01-B,heston,OTM_K125,8.139e-05,-0.00139609,0.00139609,0.00136544,0.978,0.9879,True,True,80,20
Exp01-C,heston,ATM,0.00021569,-0.00298217,0.00298217,0.00290298,0.9734,0.975,True,True,80,20
Exp01-C,heston,OTM_K110,0.00019589,-0.00307529,0.00307529,0.00299576,0.9741,0.977,True,True,80,20
Exp01-C,heston,OTM_K125,0.00016078,-0.00279944,0.00279944,0.00273102,0.9756,0.9783,True,True,80,20
Exp01-D,heston,ATM,0.00055117,-0.00888916,0.00888916,0.008688,0.9774,0.9693,True,True,80,20
Exp01-D,heston,OTM_K110,0.00050921,-0.00916192,0.00916192,0.00896693,0.9787,0.9714,True,True,80,20
Exp01-D,heston,OTM_K125,0.00043559,-0.00839159,0.00839159,0.00822966,0.9807,0.9735,True,True,80,20
Exp01-E,heston,ATM,0.00146123,-0.02825948,0.02825948,0.02796148,0.9895,0.9977,True,True,80,20
Exp01-E,heston,OTM_K110,0.00133067,-0.0291567,0.0291567,0.02882499,0.9886,0.9972,True,True,80,20
Exp01-E,heston,OTM_K125,0.00115317,-0.0272696,0.0272696,0.02695795,0.9886,0.9971,True,True,80,20
b2-heston-A,heston,ATM,2.3e-05,-0.00029844,0.00029844,0.00028919,0.969,,True,False,80,20
b2-heston-A,heston,OTM_K110,2.074e-05,-0.00030791,0.00030791,0.00029869,0.9701,,True,False,80,20
b2-heston-A,heston,OTM_K125,1.683e-05,-0.00027948,0.00027948,0.00027166,0.972,,True,False,80,20
b2-heston-B,heston,ATM,0.00011103,-0.00148857,0.00148857,0.00145431,0.977,,True,False,80,20
b2-heston-B,heston,OTM_K110,0.00010026,-0.00153572,0.00153572,0.00150056,0.9771,,True,False,80,20
b2-heston-B,heston,OTM_K125,8.139e-05,-0.00139609,0.00139609,0.00136544,0.978,,True,False,80,20
b2-heston-C,heston,ATM,0.00021569,-0.00298217,0.00298217,0.00290298,0.9734,,True,False,80,20
b2-heston-C,heston,OTM_K110,0.00019589,-0.00307529,0.00307529,0.00299576,0.9741,,True,False,80,20
b2-heston-C,heston,OTM_K125,0.00016078,-0.00279944,0.00279944,0.00273102,0.9756,,True,False,80,20
b2-heston-D,heston,ATM,0.00055117,-0.00888916,0.00888916,0.008688,0.9774,,True,False,80,20
b2-heston-D,heston,OTM_K110,0.00050921,-0.00916192,0.00916192,0.00896693,0.9787,,True,False,80,20
b2-heston-D,heston,OTM_K125,0.00043559,-0.00839159,0.00839159,0.00822966,0.9807,,True,False,80,20
kou-A,kou,ATM,2.351e-05,-0.00025545,0.00025545,0.00024391,0.9548,0.958,True,True,80,20
kou-A,kou,OTM_K110,2.205e-05,-0.00026507,0.00026507,0.00025451,0.9601,0.9601,True,True,80,20
kou-A,kou,OTM_K125,1.963e-05,-0.00025935,0.00025935,0.0002502,0.9647,0.9612,True,True,80,20
kou-B,kou,ATM,0.0001154,-0.00127877,0.00127877,0.00122473,0.9577,0.9636,True,True,80,20
kou-B,kou,OTM_K110,0.00010802,-0.00132739,0.00132739,0.00127749,0.9624,0.9654,True,True,80,20
kou-B,kou,OTM_K125,9.591e-05,-0.00129984,0.00129984,0.00125579,0.9661,0.9663,True,True,80,20
kou-C,kou,ATM,0.00022646,-0.0025639,0.0025639,0.00246101,0.9599,0.9609,True,True,80,20
kou-C,kou,OTM_K110,0.0002115,-0.00266196,0.00266196,0.00256718,0.9644,0.9633,True,True,80,20
kou-C,kou,OTM_K125,0.00018784,-0.00260895,0.00260895,0.00252455,0.9677,0.9649,True,True,80,20
kou-D,kou,ATM,0.0006837,-0.00781755,0.00781755,0.00752233,0.9622,0.9857,True,True,80,20
kou-D,kou,OTM_K110,0.00063675,-0.00811622,0.00811622,0.00784388,0.9664,0.9867,True,True,80,20
kou-D,kou,OTM_K125,0.00056583,-0.00797296,0.00797296,0.0077259,0.969,0.9878,True,True,80,20
