AD_rej,FN,KS_rej,MR_emp,T,atom,b_delta,d_true,da,degen,kurt,mode,mu,part,payoff,ratio,ratio_hi,ratio_lo,s,sigma,skew
1,6.100770029145511e-05,1,3.2109905103651506e-05,10000,0.545,1.4744745869125516e-05,-4.685465097277702e-05,0.002,0,27.533467026829474,CRN,-3.2109905103651506e-05,2,SLA20,0.5263254466280693,0.5736091996853625,0.49924314891922583,-0.46444278154899843,6.913640684985849e-05,-4.250821759705994
1,0.0008272884956663737,1,0.0008136033544179869,10000,0.0,3.924884169202681e-06,-0.0008175282385871896,0.002,0,16.609591702802422,CRN,-0.0008136033544179869,2,SLA10,0.9834578368730202,0.9922220752822958,0.9793228396806697,-1.7808713715681335,0.0004568568889405945,-2.753545595594271
1,0.022283904259846988,1,0.02227624576369915,10000,0.0,9.511888954459244e-05,-0.02237136465324374,0.002,0,8.740897168978456,CRN,-0.02227624576369915,2,EN,0.9996563216185756,0.9998504961284898,0.9994286211645906,-2.9218689425716384,0.007623971574882839,-1.8699813731387953
1,0.009366903682521677,1,0.009319399679377787,10000,0.0,0.00012901530183406264,-0.00944841498121185,0.002,0,22.326531399987324,CRN,-0.009319399679377787,2,over5,0.9949285265703617,0.9984055079784311,0.9937735639379824,-2.1581782546712533,0.004318178843293634,-3.1904107099026353
1,0.0017662959467383203,1,0.0011452320296926582,10000,0.285,-0.00014071519180909768,-4.685465097277702e-05,0.002,0,9.453614386519055,IND,-0.0001875698427818747,2,SLA20,0.6483806022470175,0.6705517639488624,0.6308802543762082,-0.08503663593081083,0.002205753328888609,0.11771798188586183
0,0.011025425662979748,0,0.011125883794058784,10000,0.0,-0.00021680561721983886,-0.0008175282385871896,0.002,0,2.659310736742872,IND,-0.0010343338558070285,2,SLA10,1.0091114968391965,1.021393534218255,1.0017176738901743,-0.07506312723748557,0.013779519903755026,0.15864488457511347
0,0.199652487153192,0,0.20116422205743242,10000,0.0,-0.008967713130342288,-0.02237136465324374,0.002,0,2.8394623490732527,IND,-0.03133907778358603,2,EN,1.0075718310640451,1.018482559215904,0.9971680032212933,-0.1262390760561258,0.24825179938462713,0.10678668794276774
1,0.11250882112765646,0,0.11367992678428136,10000,0.0,-0.0041152162557695875,-0.00944841498121185,0.002,0,2.9419975826510876,IND,-0.013563631236981438,2,over5,1.01040901188802,1.0246827787076933,1.000375133787006,-0.09663870874093586,0.14035401976802206,0.18290705835807516
1,0.0026710374415861507,1,0.0020122106153718333,10000,0.165,0.0003610786605860411,-0.0023732892759578744,0.05,0,8.658317458007588,CRN,-0.0020122106153718333,2,SLA20,0.7533442190076212,0.7746808537004507,0.735090683139996,-0.7716654960120347,0.0026076203040967007,-2.150797187112862
1,0.027523947485418362,0,0.027522886933042993,10000,0.0,0.0005431028764296825,-0.028065989809472676,0.05,0,3.3196579040650542,CRN,-0.027522886933042993,2,SLA10,0.9999614680134116,0.9999762399318732,0.9999385330829421,-3.4664830379661025,0.007939714872856139,-0.574155855917582
