event,window_pair,model,payoff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,in_training_box,was_clipped
Luna,pre→post,heston,ATM_call,0.001307,-0.017074,0.017074,0.017154,1.0047,True,True,"kappa,xi"
Luna,pre→post,heston,OTM_put_m030,0.000514,-0.010866,0.010866,0.010955,1.0082,True,True,"kappa,xi"
Luna,pre→post,heston,OTM_put_m050,0.000332,-0.007112,0.007112,0.007175,1.0089,True,True,"kappa,xi"
Luna,pre→post,kou,ATM_call,0.003673,-0.068662,0.068662,0.067536,0.9836,True,True,n/a
Luna,pre→post,kou,OTM_put_m030,0.001799,-0.050353,0.050353,0.050264,0.9982,True,True,n/a
Luna,pre→post,kou,OTM_put_m050,0.001481,-0.040923,0.040923,0.040838,0.9979,True,True,n/a
FTX,pre→post,heston,ATM_call,0.001979,0.038381,0.038381,0.039065,1.0178,True,True,"kappa,xi"
FTX,pre→post,heston,OTM_put_m030,0.001099,0.023952,0.023952,0.024131,1.0075,True,True,"kappa,xi"
FTX,pre→post,heston,OTM_put_m050,0.000576,0.012045,0.012045,0.012098,1.0044,True,True,"kappa,xi"
FTX,pre→post,kou,ATM_call,0.003461,0.059831,0.059831,0.060185,1.0059,True,True,n/a
FTX,pre→post,kou,OTM_put_m030,0.002001,0.044782,0.044782,0.044663,0.9973,True,True,n/a
FTX,pre→post,kou,OTM_put_m050,0.001577,0.034984,0.034984,0.034902,0.9977,True,True,n/a
ETF,pre→post,heston,ATM_call,0.002194,-0.045883,0.045883,0.046178,1.0064,True,True,"kappa,omega,xi"
ETF,pre→post,heston,OTM_put_m030,0.000934,-0.029996,0.029996,0.030163,1.0056,True,True,"kappa,omega,xi"
ETF,pre→post,heston,OTM_put_m050,0.000497,-0.016473,0.016473,0.016535,1.0037,True,True,"kappa,omega,xi"
ETF,pre→post,kou,ATM_call,0.003405,-0.046709,0.046709,0.046483,0.9952,True,True,n/a
ETF,pre→post,kou,OTM_put_m030,0.001467,-0.035154,0.035154,0.035074,0.9977,True,True,n/a
ETF,pre→post,kou,OTM_put_m050,0.001152,-0.027349,0.027349,0.027289,0.9978,True,True,n/a
COVID,pre→post,heston,ATM_call,0.002376,-0.037286,0.037286,0.037312,1.0007,True,True,"kappa,xi"
COVID,pre→post,heston,OTM_put_m030,0.000794,-0.024004,0.024004,0.024188,1.0077,True,True,"kappa,xi"
COVID,pre→post,heston,OTM_put_m050,0.000505,-0.015281,0.015281,0.015397,1.0076,True,True,"kappa,xi"
COVID,pre→post,kou,ATM_call,0.002828,-0.079495,0.079495,0.078303,0.985,True,True,n/a
COVID,pre→post,kou,OTM_put_m030,0.001414,-0.060669,0.060669,0.06057,0.9984,True,True,n/a
COVID,pre→post,kou,OTM_put_m050,0.00113,-0.047946,0.047946,0.047833,0.9976,True,True,n/a
China,pre→post,heston,ATM_call,0.001059,-0.00661,0.00661,0.006717,1.0161,True,True,"v,kappa,xi"
China,pre→post,heston,OTM_put_m030,0.00032,-0.002987,0.002987,0.003,1.0043,True,True,"v,kappa,xi"
China,pre→post,heston,OTM_put_m050,0.000234,-0.00211,0.00211,0.002124,1.0069,True,True,"v,kappa,xi"
China,pre→post,kou,ATM_call,0.002782,0.015937,0.015937,0.015411,0.967,True,False,n/a
China,pre→post,kou,OTM_put_m030,0.001432,0.009571,0.009571,0.009639,1.007,True,False,n/a
China,pre→post,kou,OTM_put_m050,0.001196,0.007976,0.007976,0.008023,1.0059,True,False,n/a
3AC,pre→post,heston,ATM_call,0.003374,0.045046,0.045046,0.045498,1.01,True,True,"v,kappa,xi"
3AC,pre→post,heston,OTM_put_m030,0.00086,0.027494,0.027494,0.027514,1.0007,True,True,"v,kappa,xi"
3AC,pre→post,heston,OTM_put_m050,0.000596,0.018147,0.018147,0.018186,1.0022,True,True,"v,kappa,xi"
3AC,pre→post,kou,ATM_call,0.004111,0.070746,0.070746,0.069224,0.9785,True,True,n/a
3AC,pre→post,kou,OTM_put_m030,0.001975,0.049176,0.049176,0.048957,0.9955,True,True,n/a
3AC,pre→post,kou,OTM_put_m050,0.001605,0.040386,0.040386,0.040205,0.9955,True,True,n/a
SVB,pre→post,heston,ATM_call,0.001489,0.017237,0.017237,0.017806,1.0331,True,True,"kappa,xi"
SVB,pre→post,heston,OTM_put_m030,0.00086,0.009846,0.009846,0.009875,1.003,True,True,"kappa,xi"
SVB,pre→post,heston,OTM_put_m050,0.000412,0.004623,0.004623,0.004617,0.9988,True,True,"kappa,xi"
SVB,pre→post,kou,ATM_call,0.002686,0.126043,0.126043,0.125974,0.9995,True,True,n/a
SVB,pre→post,kou,OTM_put_m030,0.001632,0.094489,0.094489,0.094361,0.9986,True,True,n/a
SVB,pre→post,kou,OTM_put_m050,0.001267,0.072262,0.072262,0.072183,0.9989,True,True,n/a
Halving,pre→post,heston,ATM_call,0.002167,0.045184,0.045184,0.045567,1.0085,True,True,"kappa,xi"
Halving,pre→post,heston,OTM_put_m030,0.00096,0.02926,0.02926,0.029431,1.0059,True,True,"kappa,xi"
Halving,pre→post,heston,OTM_put_m050,0.000511,0.015876,0.015876,0.015935,1.0037,True,True,"kappa,xi"
Halving,pre→post,kou,ATM_call,0.003364,0.107763,0.107763,0.107739,0.9998,True,True,n/a
Halving,pre→post,kou,OTM_put_m030,0.001757,0.081335,0.081335,0.081427,1.0011,True,True,n/a
Halving,pre→post,kou,OTM_put_m050,0.001357,0.063291,0.063291,0.063374,1.0013,True,True,n/a
