model,pair,layer,payoff_id,k,VR_k,predicted_VR,diff_pct
heston,A,A,call_k=+0.00,1,0.671647,0.671647,0.0
heston,A,A,call_k=+0.00,2,0.884309,0.884309,0.0
heston,A,A,call_k=+0.00,3,0.890204,0.890204,0.0
heston,A,A,call_k=+0.00,5,0.979491,0.979491,0.0
heston,A,A,call_k=+0.00,10,0.981969,0.981969,0.0
heston,A,A,call_k=+0.00,20,0.990896,0.990896,0.0
heston,A,A,call_k=+0.00,50,0.99865,0.99865,0.0
heston,A,A,call_k=+0.00,300,1.0,1.0,0.0
heston,A,A,call_k=+0.05,1,0.69332,0.69332,0.0
heston,A,A,call_k=+0.05,2,0.896173,0.896173,0.0
heston,A,A,call_k=+0.05,3,0.903856,0.903856,0.0
heston,A,A,call_k=+0.05,5,0.980078,0.980078,0.0
heston,A,A,call_k=+0.05,10,0.982559,0.982559,0.0
heston,A,A,call_k=+0.05,20,0.991229,0.991229,0.0
heston,A,A,call_k=+0.05,50,0.998682,0.998682,0.0
heston,A,A,call_k=+0.05,300,1.0,1.0,0.0
heston,A,A,call_k=+0.10,1,0.704266,0.704266,0.0
heston,A,A,call_k=+0.10,2,0.902966,0.902966,0.0
heston,A,A,call_k=+0.10,3,0.91363,0.91363,0.0
heston,A,A,call_k=+0.10,5,0.980419,0.980419,0.0
heston,A,A,call_k=+0.10,10,0.982694,0.982694,0.0
heston,A,A,call_k=+0.10,20,0.99128,0.99128,0.0
heston,A,A,call_k=+0.10,50,0.998671,0.998671,0.0
heston,A,A,call_k=+0.10,300,1.0,1.0,0.0
heston,A,A,call_k=+0.15,1,0.707226,0.707226,0.0
heston,A,A,call_k=+0.15,2,0.905024,0.905024,0.0
heston,A,A,call_k=+0.15,3,0.920002,0.920002,0.0
heston,A,A,call_k=+0.15,5,0.980284,0.980284,0.0
heston,A,A,call_k=+0.15,10,0.982483,0.982483,0.0
heston,A,A,call_k=+0.15,20,0.991068,0.991068,0.0
heston,A,A,call_k=+0.15,50,0.998616,0.998616,0.0
heston,A,A,call_k=+0.15,300,1.0,1.0,0.0
heston,A,A,call_k=+0.20,1,0.701499,0.701499,0.0
heston,A,A,call_k=+0.20,2,0.900847,0.900847,0.0
heston,A,A,call_k=+0.20,3,0.921763,0.921763,0.0
heston,A,A,call_k=+0.20,5,0.979321,0.979321,0.0
heston,A,A,call_k=+0.20,10,0.981699,0.981699,0.0
heston,A,A,call_k=+0.20,20,0.990436,0.990436,0.0
heston,A,A,call_k=+0.20,50,0.99849,0.99849,0.0
heston,A,A,call_k=+0.20,300,1.0,1.0,0.0
heston,A,A,call_k=+0.30,1,0.669695,0.669695,0.0
heston,A,A,call_k=+0.30,2,0.873693,0.873693,0.0
heston,A,A,call_k=+0.30,3,0.91241,0.91241,0.0
heston,A,A,call_k=+0.30,5,0.972719,0.972719,0.0
heston,A,A,call_k=+0.30,10,0.976349,0.976349,0.0
