n,VR_median,VR_q25,VR_q75,n_VR_above_30,n_VR_above_50,n_VR_above_70,n_VR_above_90,n_VR_above_99,predicted_VR_median,diff_pct_median,model,layer,k
68,0.5906,0.4638,0.6536,67,42,4,0,0,0.5906,0.0,heston,A,1
68,0.8718,0.7352,0.8915,68,68,53,9,0,0.8718,0.0,heston,A,2
68,0.9126,0.8718,0.9233,68,68,64,42,0,0.9126,0.0,heston,A,3
68,0.9722,0.9109,0.9794,68,68,68,54,0,0.9722,0.0,heston,A,5
68,0.9805,0.9492,0.9841,68,68,68,60,8,0.9805,0.0,heston,A,10
68,0.9895,0.9768,0.9931,68,68,68,64,32,0.9895,0.0,heston,A,20
68,0.9985,0.9974,0.9994,68,68,68,68,60,0.9985,0.0,heston,A,50
68,1.0,1.0,1.0,68,68,68,68,68,1.0,0.0,heston,A,300
4,0.7717,0.7508,0.7794,4,4,4,0,0,0.7717,0.0,heston,B1,1
4,0.9119,0.9073,0.9128,4,4,4,3,0,0.9119,0.0,heston,B1,2
4,0.9228,0.9191,0.9236,4,4,4,4,0,0.9228,0.0,heston,B1,3
4,0.9833,0.9811,0.9837,4,4,4,4,0,0.9833,0.0,heston,B1,5
4,0.9856,0.9838,0.9858,4,4,4,4,0,0.9856,0.0,heston,B1,10
4,0.9923,0.991,0.9927,4,4,4,4,3,0.9923,0.0,heston,B1,20
4,0.9989,0.9987,0.9989,4,4,4,4,4,0.9989,0.0,heston,B1,50
4,1.0,1.0,1.0,4,4,4,4,4,1.0,0.0,heston,B1,300
72,0.595,0.4683,0.6667,71,46,8,0,0,0.595,0.0,all_heston,all,1
72,0.8748,0.7429,0.8944,72,72,57,12,0,0.8748,0.0,all_heston,all,2
72,0.9129,0.8792,0.9236,72,72,68,46,0,0.9129,0.0,all_heston,all,3
72,0.9726,0.9163,0.9795,72,72,72,58,0,0.9726,0.0,all_heston,all,5
72,0.9813,0.9552,0.9852,72,72,72,64,8,0.9813,0.0,all_heston,all,10
72,0.9898,0.9793,0.993,72,72,72,68,35,0.9898,0.0,all_heston,all,20
72,0.9986,0.9977,0.9993,72,72,72,72,64,0.9986,0.0,all_heston,all,50
0,,,,0,0,0,0,0,,,all_heston,all,256
72,1.0,1.0,1.0,72,72,72,72,72,1.0,0.0,all_heston,all,300
68,0.4311,0.3761,0.8199,67,32,23,0,0,0.4311,0.0,kou,A,1
68,0.4764,0.389,0.9026,67,32,32,18,0,0.4764,0.0,kou,A,2
68,0.9296,0.9056,0.9675,68,68,68,52,0,0.9296,0.0,kou,A,3
68,0.971,0.9509,0.997,68,68,68,66,28,0.971,0.0,kou,A,5
68,0.9975,0.9965,0.9998,68,68,68,68,64,0.9975,0.0,kou,A,10
68,0.9995,0.999,1.0,68,68,68,68,68,0.9995,0.0,kou,A,20
68,0.9999,0.9997,1.0,68,68,68,68,68,0.9999,0.0,kou,A,50
68,1.0,1.0,1.0,68,68,68,68,68,1.0,0.0,kou,A,256
4,0.4905,0.4731,0.5021,4,1,0,0,0,0.4905,0.0,kou,B1,1
4,0.4993,0.4766,0.5202,4,2,0,0,0,0.4993,0.0,kou,B1,2
4,0.9393,0.937,0.9435,4,4,4,4,0,0.9393,0.0,kou,B1,3
4,0.9734,0.9682,0.9746,4,4,4,4,0,0.9734,0.0,kou,B1,5
4,0.9973,0.9972,0.9975,4,4,4,4,4,0.9973,0.0,kou,B1,10
4,0.9995,0.9993,0.9996,4,4,4,4,4,0.9995,0.0,kou,B1,20
4,0.9998,0.9998,0.9999,4,4,4,4,4,0.9998,0.0,kou,B1,50
4,1.0,1.0,1.0,4,4,4,4,4,1.0,0.0,kou,B1,256
72,0.4415,0.3794,0.8162,71,33,23,0,0,0.4415,0.0,all_kou,all,1
72,0.4794,0.3962,0.9005,71,34,32,18,0,0.4794,0.0,all_kou,all,2
72,0.9318,0.9088,0.9666,72,72,72,56,0,0.9318,0.0,all_kou,all,3
72,0.9711,0.9548,0.9969,72,72,72,70,28,0.9711,0.0,all_kou,all,5
72,0.9974,0.9966,0.9998,72,72,72,72,68,0.9974,0.0,all_kou,all,10
72,0.9995,0.9991,1.0,72,72,72,72,72,0.9995,0.0,all_kou,all,20
72,0.9998,0.9997,1.0,72,72,72,72,72,0.9998,0.0,all_kou,all,50
72,1.0,1.0,1.0,72,72,72,72,72,1.0,0.0,all_kou,all,256
0,,,,0,0,0,0,0,,,all_kou,all,300
144,0.5708,0.4066,0.6896,142,79,31,0,0,0.5708,0.0,all,all,1
144,0.8605,0.4801,0.8957,143,106,89,30,0,0.8605,0.0,all,all,2
144,0.9218,0.8901,0.9445,144,144,140,102,0,0.9218,0.0,all,all,3
144,0.9724,0.945,0.9824,144,144,144,128,28,0.9724,0.0,all,all,5
144,0.9908,0.9813,0.9974,144,144,144,136,76,0.9908,0.0,all,all,10
144,0.9962,0.9898,0.9995,144,144,144,140,107,0.9962,0.0,all,all,20
144,0.9996,0.9986,0.9998,144,144,144,144,136,0.9996,0.0,all,all,50
72,1.0,1.0,1.0,72,72,72,72,72,1.0,0.0,all,all,256
72,1.0,1.0,1.0,72,72,72,72,72,1.0,0.0,all,all,300
