block,config_id,payoff,n_seeds,lil_p,lil_rej,ks_std_p,skew,kurt
Exp01,Exp01-A,ATM,50,0.2280333447356582,0,0.6492617255270887,-0.05742540588905588,1.9551746318748995
Exp01,Exp01-A,OTM_K110,50,0.3141897742404311,0,0.7217062028075482,-0.058415487126431666,2.0752509765557
Exp01,Exp01-A,OTM_K125,50,0.16458617940965328,0,0.5713513009703602,-0.06038551467256273,2.2098758120218704
Exp01,Exp01-B,ATM,50,0.09589701595989464,0,0.4871251796183951,-0.11596046816472903,2.0911390497192723
Exp01,Exp01-B,OTM_K110,50,0.25013142632508445,0,0.6765064626748056,-0.08686068197071911,2.1483419893369176
Exp01,Exp01-B,OTM_K125,50,0.310257810219771,0,0.7189562334929058,-0.06199905546312422,2.2376446547905795
Exp01,Exp01-C,ATM,50,0.3584531172666144,0,0.7523281307204349,-0.2529069611919033,2.171758789716955
Exp01,Exp01-C,OTM_K110,50,0.1441490436390239,0,0.5467522258984914,-0.2578080863144742,2.2297834099922373
Exp01,Exp01-C,OTM_K125,50,0.5389703750074252,0,0.8621832048656224,-0.2617644463534158,2.292540053280954
Exp01,Exp01-D,ATM,50,0.20140363302477254,0,0.6163744571757166,0.1905321785517956,2.3747719953127544
Exp01,Exp01-D,OTM_K110,50,0.09762395514041224,0,0.49042606304325287,0.17765293112921213,2.2962169508558232
Exp01,Exp01-D,OTM_K125,50,0.19824315521193295,0,0.6124833989300649,0.15582200985298225,2.2173537380404467
Exp01,Exp01-E,ATM,50,0.1786886142517213,0,0.5885070636189362,-0.24282639138809325,2.1538248012126777
Exp01,Exp01-E,OTM_K110,50,0.15695266775934355,0,0.5621236480593619,-0.1904606167000722,2.097844034212668
Exp01,Exp01-E,OTM_K125,50,0.20234572034471032,0,0.6175350081650222,-0.13878686978012122,2.091678279792163
Exp02,Exp02-A,ATM,50,0.2280333447356582,0,0.6492617255270887,-0.05742540588905588,1.9551746318748995
Exp02,Exp02-A,OTM_K110,50,0.3141897742404311,0,0.7217062028075482,-0.058415487126431666,2.0752509765557
Exp02,Exp02-A,OTM_K125,50,0.16458617940965328,0,0.5713513009703602,-0.06038551467256273,2.2098758120218704
Exp02,Exp02-B,ATM,50,0.09589701595989464,0,0.4871251796183951,-0.11596046816472903,2.0911390497192723
Exp02,Exp02-B,OTM_K110,50,0.25013142632508445,0,0.6765064626748056,-0.08686068197071911,2.1483419893369176
Exp02,Exp02-B,OTM_K125,50,0.310257810219771,0,0.7189562334929058,-0.06199905546312422,2.2376446547905795
Exp02,Exp02-C,ATM,50,0.3584531172666144,0,0.7523281307204349,-0.2529069611919033,2.171758789716955
Exp02,Exp02-C,OTM_K110,50,0.1441490436390239,0,0.5467522258984914,-0.2578080863144742,2.2297834099922373
Exp02,Exp02-C,OTM_K125,50,0.5389703750074252,0,0.8621832048656224,-0.2617644463534158,2.292540053280954
Exp02,Exp02-D,ATM,50,0.20140363302477254,0,0.6163744571757166,0.1905321785517956,2.3747719953127544
Exp02,Exp02-D,OTM_K110,50,0.09762395514041224,0,0.49042606304325287,0.17765293112921213,2.2962169508558232
Exp02,Exp02-D,OTM_K125,50,0.19824315521193295,0,0.6124833989300649,0.15582200985298225,2.2173537380404467
Exp02,Exp02-E,ATM,50,0.1786886142517213,0,0.5885070636189362,-0.24282639138809325,2.1538248012126777
Exp02,Exp02-E,OTM_K110,50,0.15695266775934355,0,0.5621236480593619,-0.1904606167000722,2.097844034212668
Exp02,Exp02-E,OTM_K125,50,0.20234572034471032,0,0.6175350081650222,-0.13878686978012122,2.091678279792163
Exp02,Exp02-F1,ATM,50,0.0727484770299601,0,0.4425422691132912,-0.05752389991382267,1.9380405615517844
Exp02,Exp02-F1,OTM_K110,50,0.28561170436040106,0,0.7016341645038624,-0.061184665560650664,2.052752047752717
Exp02,Exp02-F1,OTM_K125,50,0.19793431409769605,0,0.6121033656781123,-0.0648906831052621,2.185840089896398
Exp02,Exp02-F2,ATM,50,0.1945592584206063,0,0.6079527919778945,-0.05752461726160863,1.9471250571837786
Exp02,Exp02-F2,OTM_K110,50,0.30872341847604906,0,0.7178819913741519,-0.06151280413717867,2.060280035337335
Exp02,Exp02-F2,OTM_K125,50,0.18990123161458944,0,0.6022324781080588,-0.06521394151342784,2.1906814501913328
Exp02,Exp02-F3,ATM,50,0.21205189715953351,0,0.6295076922892375,-0.057471782953104,1.9419969404997142
Exp02,Exp02-F3,OTM_K110,50,0.3101396929334728,0,0.7188735602003371,-0.061123667988601506,2.0592144259405534
Exp02,Exp02-F3,OTM_K125,50,0.1757366662206375,0,0.5849053405577976,-0.06514459510827197,2.192030353237577
Exp02,Exp02-F4,ATM,50,0.21488257434753782,0,0.6330038274891152,-0.05555247974358606,1.9434032976347673
Exp02,Exp02-F4,OTM_K110,50,0.3238618171783032,0,0.7284523562157033,-0.05860485876793445,2.0636737519941644
Exp02,Exp02-F4,OTM_K125,50,0.16176835270729814,0,0.5679398668300103,-0.06260938701979689,2.198388258113862
Exp02,Exp02-F5,ATM,50,0.22122382644373487,0,0.6408409483640432,-0.056105620463093926,1.9476782818669782
Exp02,Exp02-F5,OTM_K110,50,0.3194330524412473,0,0.7253666844731828,-0.05822852055731896,2.067647482068814
Exp02,Exp02-F5,OTM_K125,50,0.16327042859287974,0,0.5697576413398663,-0.06115306599072599,2.202138972299292
Exp02,Exp02-G1,ATM,50,0.5183209950741345,0,0.8523814080902532,0.10766341481526731,2.036510603879031
Exp02,Exp02-G1,OTM_K110,50,0.6308118162238677,0,0.9020927425852494,0.122389518112795,2.0567458153510336
Exp02,Exp02-G1,OTM_K125,50,0.40272010070089326,0,0.7821471434842899,0.11615428682476411,2.135193554155728
Exp02,Exp02-G2,ATM,50,0.18881133529248334,0,0.6008954731501378,-0.39858250313751903,2.4182399337839886
Exp02,Exp02-G2,OTM_K110,50,0.18308738725685095,0,0.5938835593414875,-0.42445790085712365,2.4204869526346604
Exp02,Exp02-G2,OTM_K125,50,0.22501299093026697,0,0.6455263125196087,-0.39309521550848237,2.4699650063559604
Exp02,Exp02-G3,ATM,50,0.7810738776558955,0,0.9542851941080837,-0.1329370638402032,2.400372556524053
Exp02,Exp02-G3,OTM_K110,50,0.6274372438046905,0,0.9007412680135333,-0.1972349677618999,2.5164344231474187
Exp02,Exp02-G3,OTM_K125,50,0.7852606649485145,0,0.9556229254388076,-0.2528504936144645,2.5721873085388958
Exp03,Exp03-AA-A,ATM,50,0.2280333447356582,0,0.6492617255270887,-0.05742540588905588,1.9551746318748995
Exp03,Exp03-AA-A,OTM_K110,50,0.3141897742404311,0,0.7217062028075482,-0.058415487126431666,2.0752509765557
Exp03,Exp03-AA-A,OTM_K125,50,0.16458617940965328,0,0.5713513009703602,-0.06038551467256273,2.2098758120218704
Exp03,Exp03-AA-B,ATM,50,0.09589701595989464,0,0.4871251796183951,-0.11596046816472903,2.0911390497192723
Exp03,Exp03-AA-B,OTM_K110,50,0.25013142632508445,0,0.6765064626748056,-0.08686068197071911,2.1483419893369176
Exp03,Exp03-AA-B,OTM_K125,50,0.310257810219771,0,0.7189562334929058,-0.06199905546312422,2.2376446547905795
Exp03,Exp03-AA-C,ATM,50,0.3584531172666144,0,0.7523281307204349,-0.2529069611919033,2.171758789716955
Exp03,Exp03-AA-C,OTM_K110,50,0.1441490436390239,0,0.5467522258984914,-0.2578080863144742,2.2297834099922373
Exp03,Exp03-AA-C,OTM_K125,50,0.5389703750074252,0,0.8621832048656224,-0.2617644463534158,2.292540053280954
Exp03,Exp03-AA-D,ATM,50,0.20140363302477254,0,0.6163744571757166,0.1905321785517956,2.3747719953127544
Exp03,Exp03-AA-D,OTM_K110,50,0.09762395514041224,0,0.49042606304325287,0.17765293112921213,2.2962169508558232
Exp03,Exp03-AA-D,OTM_K125,50,0.19824315521193295,0,0.6124833989300649,0.15582200985298225,2.2173537380404467
Exp03,Exp03-AA-E,ATM,50,0.1786886142517213,0,0.5885070636189362,-0.24282639138809325,2.1538248012126777
Exp03,Exp03-AA-E,OTM_K110,50,0.15695266775934355,0,0.5621236480593619,-0.1904606167000722,2.097844034212668
Exp03,Exp03-AA-E,OTM_K125,50,0.20234572034471032,0,0.6175350081650222,-0.13878686978012122,2.091678279792163
Exp03,Exp03-AB1-A,ATM,6,0.5735148379931471,0,0.9099415195580985,-0.6262656399075937,2.521294835738941
Exp03,Exp03-AB1-A,OTM_K110,6,0.4280150495672311,0,0.8448380007974706,-0.5223390759581479,2.461341447199748
Exp03,Exp03-AB1-A,OTM_K125,6,0.35280392644153813,0,0.8005993637108706,-0.6727977961517289,2.6232726261401123
