model,pair,payoff,N,B,ratio_med,ratio_q25,ratio_q75,KS_rejrate,AD_rejrate,skew_med,kurt_med
heston,A,price_ATMcall,5,100,1.0,0.9999999999999113,1.0,0.0,0.0,-0.04566816648345472,1.95105877370856
heston,A,price_ATMcall,10,100,1.0,0.9999999999999695,1.0,0.0,0.06,0.1416621150293533,2.183104784310614
heston,A,price_ATMcall,20,100,1.0,0.9999999999999993,1.0,0.0,0.06,0.022473425728545302,2.4739734933019233
heston,A,price_ATMcall,50,100,1.0,0.9999999999999999,1.0,0.0,0.03,0.023925726942318627,2.7346569019823144
heston,A,price_ATMcall,100,100,1.0,1.0,1.0,0.0,0.03,-0.018339810027692034,2.8398786169776358
heston,A,price_ATMcall,200,1,1.0,1.0,1.0,0.0,0.0,-0.0422308423321523,2.841670984288708
heston,A,delta_ATM,5,100,0.9999052264975996,0.9989436177083305,0.9999997466197744,0.0,0.01,0.01225283190765801,1.9700794039661735
heston,A,delta_ATM,10,100,0.999798855021353,0.9988227206679454,0.9999749575125588,0.0,0.02,0.043320584521562726,2.0893018938054873
heston,A,delta_ATM,20,100,0.9997376843125854,0.9992477093522357,0.9999391730244244,0.0,0.02,-0.007735040876526532,2.309509502924409
heston,A,delta_ATM,50,100,0.9998704154600884,0.9995615468286344,1.0007968141079255,0.0,0.04,0.017026571049281413,2.6576841587027262
heston,A,delta_ATM,100,100,1.0003820615275743,0.9997556807747979,1.0007412817574077,0.0,0.03,0.04243525034390015,2.724062625204617
heston,A,delta_ATM,200,1,1.0002466283536102,1.0002466283536102,1.0002466283536102,0.0,0.0,0.03523297723719504,2.7185035496265937
heston,A,digital_OTM110,5,100,0.9991580621687279,0.9936375229328207,0.9999880488966968,0.0,0.0,-0.007415648241000155,1.991839406791454
heston,A,digital_OTM110,10,100,0.9965696730463693,0.9891971718416932,0.9995380161557335,0.0,0.07,-0.11592946631738546,2.3619894129333443
heston,A,digital_OTM110,20,100,0.9979696393527331,0.995490265519514,0.9993038273392105,0.0,0.03,0.03295375178107973,2.6434512554701914
heston,A,digital_OTM110,50,100,0.9973798140113688,0.9958716475024578,0.998541180656059,0.01,0.02,-0.004372048680263685,2.6163497769301727
heston,A,digital_OTM110,100,100,0.9976411173331904,0.9970551699317232,0.9983021020300775,0.0,0.01,-0.05025982127991244,2.747165093336609
heston,A,digital_OTM110,200,1,0.9976052826013336,0.9976052826013336,0.9976052826013336,0.0,0.0,-0.04966656780770237,2.7452098879302813
heston,B,price_ATMcall,5,100,1.0,0.9999999999999961,1.0,0.0,0.0,0.024212056445817302,1.8243362637524174
heston,B,price_ATMcall,10,100,1.0,0.9999999999999988,1.0,0.0,0.05,-0.02533156665849905,2.2996397392323003
heston,B,price_ATMcall,20,100,1.0,1.0,1.0,0.0,0.04,-0.04419963916389508,2.44104225631188
heston,B,price_ATMcall,50,100,1.0,1.0,1.0,0.0,0.02,0.008834142419353427,2.8055362139579443
heston,B,price_ATMcall,100,100,1.0,1.0,1.0,0.0,0.01,-0.047975431963863585,2.9328214901856686
heston,B,price_ATMcall,200,1,1.0,1.0,1.0,0.0,0.0,-0.04993395671789393,2.93946075625332
heston,B,delta_ATM,5,100,0.9998882757703973,0.9990067739203655,0.9999983890306132,0.0,0.0,-0.027194530176966547,1.9883830670541134
heston,B,delta_ATM,10,100,0.9998240583640403,0.9984965493238283,0.9999810605193071,0.0,0.03,-0.01709531424978796,2.2076206013394386
heston,B,delta_ATM,20,100,0.9997985497522155,0.9995363048164122,0.9999628980880733,0.0,0.04,-0.05781633767650464,2.4589356329007295
heston,B,delta_ATM,50,100,0.9998865779141726,0.9997046547914791,1.0000630952591145,0.0,0.03,-0.011084327460345465,2.581519454961966
