model,pair,tol,rank,rec_oos,alpha_free,alpha_dyw,alpha_dym
heston,A,1e-12,17,92.87300614912898,548520.3897577315,16400727.58980319,18345.199402436032
heston,A,1e-10,16,92.72450498917568,540899.05241634,16172850.048803551,18090.304678644978
heston,A,1e-08,8,85.79577694479828,76100.67106355759,2275405.6163087855,2545.1779211649255
heston,A,1e-06,4,32.61004885779681,11935.488476575922,356870.40775642864,399.18099701812673
heston,A,0.0001,2,41.087185514671695,2089.7925782792763,62484.67593098762,69.89286501308926
heston,B,1e-12,17,96.49364982062838,111841.21342536964,3344045.743700948,3740.516123028756
heston,B,1e-10,16,96.34053410687187,111330.26416221313,3328768.390600288,3723.4274855010353
heston,B,1e-08,8,93.27717480583314,15189.388760917642,454161.8360503565,508.00730624294397
heston,B,1e-06,4,40.68694361743329,2575.4280390703384,77005.14782064811,86.13488542192195
heston,B,0.0001,2,51.199291350058196,450.8116464270964,13479.24187581628,15.077342066168839
heston,C,1e-12,17,94.14768553360665,57401.48698674958,1716301.1054796313,1919.7859267061372
heston,C,1e-10,16,93.84865933264489,56580.86630260907,1691764.594993502,1892.3403652184952
heston,C,1e-08,8,88.3564513112647,7835.77838071018,234289.31554004355,262.06667892676893
heston,C,1e-06,4,48.71760194023764,1474.58769455008,44090.08586950326,49.317410615943935
heston,C,0.0001,2,58.99301069324682,256.4702603655669,7668.445792870862,8.577617450609445
heston,D,1e-12,17,91.52400615437531,25990.70378915348,777120.5239999258,869.2560067498378
heston,D,1e-10,17,91.52400615437531,25990.70378915348,777120.5239999258,869.2560067498378
heston,D,1e-08,9,83.79014684264929,5227.746276804969,156309.30808671488,174.84135442200838
heston,D,1e-06,4,71.66829829663426,921.4805642661125,27552.215006085153,30.81880822041553
heston,D,0.0001,3,66.15711255163653,225.831147273833,6752.338102448188,7.552895945853888
kou,A,1e-12,17,96.45269453662037,173246.9886637372,5522247.763656643,5435.19964435252
kou,A,1e-10,17,96.45269453662037,173246.9886637372,5522247.763656643,5435.19964435252
kou,A,1e-08,10,93.72579409925427,47296.32030742618,1507570.2097992147,1483.8061272917964
kou,A,1e-06,6,90.21937042741284,27524.17577675593,877333.1028840983,863.5035537805751
kou,A,0.0001,3,94.89383900041089,1797.0142327356411,57279.82866844877,56.37691710543168
kou,B,1e-12,17,96.91293408572221,39991.61288240287,1274732.660626596,1254.63883552636
kou,B,1e-10,17,96.91293408572221,39991.61288240287,1274732.660626596,1254.63883552636
kou,B,1e-08,10,93.4821611443799,11171.688521971253,356097.57163783495,350.4843457873322
kou,B,1e-06,6,89.74079551843575,5404.117365495769,172256.24102517826,169.5409369567294
kou,B,0.0001,3,95.42842093558785,401.6828656109131,12803.6413413479,12.601815391714876
kou,C,1e-12,17,95.14164159040708,24556.38806490406,782734.8695688196,770.3964883107128
kou,C,1e-10,17,95.14164159040708,24556.38806490406,782734.8695688196,770.3964883107128
kou,C,1e-08,10,90.49227902323109,6787.2901870645865,216344.87471268445,212.93459410398626
kou,C,1e-06,6,86.46968023069361,3175.5038468183134,101219.1851173341,99.62365009626046
kou,C,0.0001,3,92.61654710439322,233.5396337644697,7444.075826242498,7.326733608297062
kou,D,1e-12,17,92.61790510973748,20342.298424236884,648410.7622725529,638.1897544858607
kou,D,1e-10,17,92.61790510973748,20342.298424236884,648410.7622725529,638.1897544858607
kou,D,1e-08,10,83.72991371666315,4195.060389047976,133717.5499009047,131.6097376956223
kou,D,1e-06,6,81.2629944243151,1622.1412453607359,51705.75219587364,50.89070573680722
kou,D,0.0001,3,87.25106071150798,123.40960097945428,3933.681031220119,3.87167375621816
