ensemble_id,ckpt_dir,role,filename_pattern,zero_pad,n_ckpt,seed_min,seed_max,seed_range,contiguous,n_patterns
experiments__audit_e12,experiments/audit_e12,supplementary,audit_seed0_w%02d.pt,2,3,64,1024,64;512;1024,False,3
experiments__e1_fno__ckpt__full,experiments/e1_fno/ckpt/full,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e1_fno__ckpt__pilot,experiments/e1_fno/ckpt/pilot,supplementary,fno_seed_%04d.pt,4,3,0,2,0-2,True,1
experiments__e1_fno_kou__ckpt__full,experiments/e1_fno_kou/ckpt/full,supplementary,seed_%04d.pt,4,30,0,29,0-29,True,1
experiments__e1_fno_kou__ckpt__pilot,experiments/e1_fno_kou/ckpt/pilot,supplementary,fno_seed_%04d.pt,4,3,0,2,0-2,True,1
experiments__e2_width__ckpt__w1024,experiments/e2_width/ckpt/w1024,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e2_width__ckpt__w128,experiments/e2_width/ckpt/w128,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e2_width__ckpt__w256,experiments/e2_width/ckpt/w256,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e2_width__ckpt__w512,experiments/e2_width/ckpt/w512,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e2_width__ckpt__w64,experiments/e2_width/ckpt/w64,supplementary,seed_%04d.pt,4,200,0,199,0-199,True,1
experiments__e4_burgers__ckpt,experiments/e4_burgers/ckpt,supplementary,seed_%04d.pt,4,50,0,49,0-49,True,1
experiments__e5_dropout__ckpt,experiments/e5_dropout/ckpt,supplementary,seed_%04d.pt,4,20,0,19,0-19,True,1
output__mlp_replication__heston_seeds,output/mlp_replication/heston_seeds,supplementary,seed_%03d.pt,3,100,0,99,0-99,True,1
output__mlp_replication__kou_seeds,output/mlp_replication/kou_seeds,supplementary,seed_%03d.pt,3,100,0,99,0-99,True,1
save__day4__bates,save/day4/bates,stale_lineage,seed_%04d.pt,4,200,0,199,0-199,True,1
save__day4__gbm,save/day4/gbm,stale_lineage,seed_%04d.pt,4,200,0,199,0-199,True,1
save__day4__rough_heston,save/day4/rough_heston,stale_lineage,seed_%04d.pt,4,200,0,199,0-199,True,1
save__exp01,save/exp01,canonical,seed_%02d.pt,2,50,0,49,0-49,True,1
save__exp03__protocol_B1,save/exp03/protocol_B1,canonical,seed_%02d.pt,2,30,0,29,0-29,True,1
save__exp03__protocol_B2,save/exp03/protocol_B2,canonical,seed_%02d.pt,2,30,0,29,0-29,True,1
save__exp03__protocol_B3,save/exp03/protocol_B3,canonical,seed_%02d.pt,2,30,0,29,0-29,True,1
save__exp07_5,save/exp07_5,canonical,seed_%03d.pt,3,150,50,199,50-199,True,1
save__exp07_6,save/exp07_6,stale_lineage,seed_%04d.pt,4,800,200,999,200-999,True,1
save__kou__stageA,save/kou/stageA,canonical,seed_%04d.pt,4,30,0,29,0-29,True,1
save__kou__stageB,save/kou/stageB,canonical,seed_%04d.pt,4,170,30,199,30-199,True,1
