config_key,block,config_id,payoff,model_class,pair,proto_pair,axis,step,diag,scale,window,scenario,clipped,n_cal,n_eval,n_seeds,lambda_1,lambda_2,lambda_status,lambda_source
Exp01__Exp01-A__ATM,Exp01,Exp01-A,ATM,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-A__OTM_K110,Exp01,Exp01-A,OTM_K110,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-A__OTM_K125,Exp01,Exp01-A,OTM_K125,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-B__ATM,Exp01,Exp01-B,ATM,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-B__OTM_K110,Exp01,Exp01-B,OTM_K110,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-B__OTM_K125,Exp01,Exp01-B,OTM_K125,heston,B,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.105,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-C__ATM,Exp01,Exp01-C,ATM,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-C__OTM_K110,Exp01,Exp01-C,OTM_K110,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-C__OTM_K125,Exp01,Exp01-C,OTM_K125,heston,C,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.11,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-D__ATM,Exp01,Exp01-D,ATM,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-D__OTM_K110,Exp01,Exp01-D,OTM_K110,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-D__OTM_K125,Exp01,Exp01-D,OTM_K125,heston,D,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.13,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-E__ATM,Exp01,Exp01-E,ATM,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-E__OTM_K110,Exp01,Exp01-E,OTM_K110,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp01__Exp01-E__OTM_K125,Exp01,Exp01-E,OTM_K125,heston,E,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.2,""xi"":0.3}",derived,code/b5_thm35_387.py:267 EXP01_PAIRS
Exp02__Exp02-A__ATM,Exp02,Exp02-A,ATM,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
Exp02__Exp02-A__OTM_K110,Exp02,Exp02-A,OTM_K110,heston,A,,,,,,,,,150,50,,"{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.1,""xi"":0.3}","{""T"":1.0,""kappa"":1.0,""omega"":0.2,""rho"":-0.5,""v"":0.101,""xi"":0.3}",derived,code/b5_thm35_387.py:286 EXP02_PAIRS
